"가격","제조사","종류","주행거리","변속기","연료형태","색상","사고여부","연식개월","차주변경"
1150,"기아","중형차",110580,"오토","LPG","흰색","N",51,1
1280,"현대","중형차",143904,"오토","가솔린","진주색","N",78,3
1000,"현대","중형차",156251,"오토","LPG","흰색","N",92,3
750,"현대","중형차",127835,"오토","LPG","은색","N",82,1
1060,"기아","중형차",103840,"오토","가솔린","흰색","Y",98,4
720,"기아","중형차",189717,"오토","가솔린","검정색","N",91,1
1690,"기아","중형차",42821,"오토","LPG","흰색","N",35,1
890,"기아","중형차",90600,"오토","가솔린","쥐색","N",121,0
230,"현대","중형차",147561,"오토","가솔린","검정색","N",194,5
1450,"기아","중형차",99312,"오토","가솔린","흰색","N",64,4
1350,"기아","중형차",65316,"오토","LPG","검정색","N",68,2
530,"기아","중형차",69129,"오토","가솔린","검정색","Y",140,2
790,"현대","중형차",75100,"오토","LPG","은색","N",122,5
1390,"기아","중형차",96145,"오토","LPG","흰색","Y",38,2
859,"기아","중형차",150243,"오토","가솔린","흰색","N",107,4
630,"기아","중형차",93000,"오토","가솔린","흰색","N",142,1
630,"기아","중형차",162242,"오토","가솔린","쥐색","Y",130,3
620,"기아","중형차",76173,"오토","가솔린","진주색","Y",135,3
930,"기아","중형차",151334,"오토","가솔린","흰색","N",105,5
650,"현대","중형차",116618,"오토","가솔린","쥐색","N",151,1
2520,"기아","중형차",16640,"오토","가솔린","흰색","Y",26,1
1995,"기아","중형차",30276,"오토","가솔린","쥐색","N",52,1
570,"현대","중형차",157439,"오토","LPG","검정색","N",129,3
1280,"현대","중형차",123825,"오토","가솔린","검정색","Y",75,5
880,"현대","중형차",158726,"오토","가솔린","검정색","N",88,5
390,"현대","중형차",151933,"오토","LPG","은색","N",163,4
750,"현대","중형차",159615,"오토","가솔린","은색","Y",99,1
670,"기아","중형차",188000,"오토","LPG","흰색","Y",123,2
250,"현대","중형차",147999,"오토","가솔린","은색","N",197,1
3190,"기아","중형차",28950,"오토","가솔린","청색","Y",26,1
370,"현대","중형차",228920,"오토","디젤","검정색","N",196,12
1660,"현대","중형차",38673,"오토","가솔린","흰색","N",43,3
990,"현대","중형차",128128,"오토","LPG","흰색","N",88,3
1130,"기아","중형차",58780,"오토","LPG","은색","N",67,2
1590,"현대","중형차",28800,"오토","가솔린","검정색","N",94,3
570,"현대","중형차",125703,"오토","가솔린","흰색","N",142,1
1449,"현대","중형차",71749,"오토","가솔린","흰색","N",47,0
1220,"현대","중형차",88636,"오토","가솔린","쥐색","N",93,3
2750,"현대","중형차",20000,"오토","가솔린","쥐색","N",39,2
460,"현대","중형차",139335,"오토","가솔린","흰색","Y",136,7
580,"현대","중형차",191977,"오토","가솔린","흰색","N",107,3
680,"기아","중형차",134377,"오토","LPG","은색","N",109,5
299,"현대","중형차",196571,"오토","가솔린","은색","N",175,1
1900,"기아","중형차",25179,"오토","가솔린","쥐색","N",84,4
780,"현대","중형차",23313,"오토","LPG","은색","N",138,2
960,"현대","중형차",155170,"오토","LPG","쥐색","N",60,1
1090,"기아","중형차",148000,"오토","가솔린","검정색","N",80,0
700,"기아","중형차",118366,"오토","가솔린","흰색","N",145,5
