"가격","제조사","종류","주행거리","변속기","연료형태","색상","사고여부","연식개월","차주변경"
1200,"현대","중형차",137128,"오토","가솔린","은색","N",96,3
1030,"현대","중형차",105506,"오토","LPG","흰색","Y",93,3
2350,"현대","중형차",50894,"오토","LPG","흰색","N",25,0
1430,"현대","중형차",54146,"오토","가솔린","명은색","N",71,3
1649,"기아","중형차",66000,"오토","가솔린","검정색","Y",42,2
989,"기아","중형차",137419,"오토","가솔린","흰색","N",101,1
1099,"현대","중형차",128950,"오토","LPG","청색","N",95,4
680,"현대","중형차",101777,"오토","LPG","검정색","N",117,1
759,"기아","중형차",151124,"오토","가솔린","흰색","N",96,4
350,"현대","중형차",156552,"오토","LPG","검정색","N",173,5
2790,"현대","중형차",9527,"오토","가솔린","쥐색","N",13,0
690,"기아","중형차",162984,"오토","LPG","은색","N",135,3
1950,"기아","중형차",48794,"오토","가솔린","흰색","N",60,2
1150,"기아","중형차",83000,"오토","가솔린","진주색","N",109,1
559,"현대","중형차",140700,"오토","가솔린","쥐색","N",125,4
1140,"기아","중형차",151900,"오토","가솔린","쥐색","N",56,1
1599,"현대","중형차",91231,"오토","가솔린","검정색","N",42,2
2270,"현대","중형차",45785,"오토","가솔린","청색","N",29,2
390,"현대","중형차",156190,"오토","LPG","은회색","N",138,5
2690,"현대","중형차",27114,"오토","가솔린","흰색","N",38,1
990,"현대","중형차",148500,"오토","가솔린","은색","N",90,4
1570,"기아","중형차",82228,"오토","LPG","검정색","N",38,2
1270,"기아","중형차",1e+05,"오토","디젤","흰색","N",74,1
2330,"현대","중형차",22570,"오토","LPG","청색","N",38,1
2290,"현대","중형차",36593,"오토","가솔린","쥐색","N",38,2
530,"기아","중형차",191371,"오토","LPG","흰색","Y",94,3
950,"현대","중형차",78852,"오토","가솔린","은색","N",107,1
1450,"기아","중형차",63935,"오토","가솔린","검정색","Y",49,1
1490,"기아","중형차",78287,"오토","가솔린","은색","N",49,1
1280,"현대","중형차",117000,"오토","LPG","쥐색","Y",63,2
1520,"현대","중형차",51304,"오토","가솔린","은회색","N",79,2
2700,"현대","중형차",36000,"오토","가솔린","쥐색","N",31,0
495,"현대","중형차",114832,"오토","가솔린","은색","Y",141,2
430,"현대","중형차",162034,"오토","가솔린","검정색","N",152,1
640,"기아","중형차",101763,"오토","가솔린","은회색","N",119,2
550,"기아","중형차",190127,"오토","LPG","검정색","N",135,2
409,"현대","중형차",2e+05,"오토","가솔린","은회색","N",148,7
1980,"현대","중형차",46700,"오토","가솔린","검정색","N",51,0
550,"현대","중형차",129031,"오토","가솔린","검정색","N",154,4
1670,"현대","중형차",35007,"오토","가솔린","청색","N",63,3
1050,"현대","중형차",100720,"오토","디젤","흰색","N",77,4
430,"현대","중형차",191860,"오토","가솔린","은회색","N",126,6
2250,"기아","중형차",32258,"오토","가솔린","검정색","N",42,1
1150,"현대","중형차",154193,"오토","가솔린","검정색","Y",98,6
1190,"현대","중형차",64299,"오토","LPG","검정색","N",74,2
570,"기아","중형차",101494,"오토","가솔린","흰색","N",145,3
1099,"기아","중형차",100230,"오토","LPG","검정색","N",65,2
520,"기아","중형차",104757,"오토","LPG","연금색","Y",130,2
1099,"기아","중형차",93700,"오토","가솔린","흰색","N",101,1
1399,"현대","중형차",85299,"오토","가솔린","쥐색","N",60,3
1880,"현대","중형차",59210,"오토","LPG","흰색","N",38,1
1599,"현대","중형차",88000,"오토","가솔린","검정색","N",57,3
1580,"현대","중형차",51023,"오토","가솔린","쥐색","N",73,1
600,"기아","중형차",152303,"오토","LPG","쥐색","N",108,4
1740,"기아","중형차",60551,"오토","가솔린","검정색","N",42,3
1210,"현대","중형차",127336,"오토","LPG","흰색","N",97,3
920,"현대","중형차",116000,"오토","LPG","흰색","Y",99,3
835,"기아","중형차",120000,"오토","가솔린","진주색","Y",107,2
2700,"기아","중형차",38046,"오토","가솔린","청색","N",27,1
1150,"현대","중형차",105908,"오토","가솔린","은회색","N",98,3
450,"기아","중형차",220927,"오토","LPG","검정색","Y",136,3
525,"현대","중형차",120229,"오토","가솔린","은회색","N",139,1
2040,"현대","중형차",54335,"오토","LPG","검정색","N",16,1
910,"기아","중형차",95929,"오토","LPG","은색","N",51,1
2950,"기아","중형차",31248,"오토","가솔린","은색","N",29,1
570,"기아","중형차",171368,"오토","가솔린","쥐색","N",121,4
500,"기아","중형차",185281,"오토","가솔린","쥐색","N",115,1
2599,"현대","중형차",4110,"오토","가솔린","청색","N",14,0
1290,"기아","중형차",85997,"오토","LPG","흰색","N",63,1
1690,"현대","중형차",13160,"오토","LPG","쥐색","N",58,0
1230,"현대","중형차",129611,"오토","LPG","은회색","N",68,1
570,"기아","중형차",161397,"오토","가솔린","은색","N",142,3
1090,"현대","중형차",164024,"오토","LPG","쥐색","N",52,2
630,"현대","중형차",143768,"오토","LPG","은색","N",152,4
1120,"현대","중형차",103161,"오토","가솔린","청색","N",96,3
1520,"현대","중형차",61326,"오토","LPG","검정색","N",88,1
2750,"기아","중형차",4720,"오토","가솔린","흰색","N",14,1
2230,"현대","중형차",25000,"오토","가솔린","진주색","N",23,4
1470,"현대","중형차",67042,"오토","LPG","검정색","N",58,2
730,"현대","중형차",185691,"오토","LPG","흰색","N",87,2
1110,"현대","중형차",88566,"오토","LPG","검정색","N",75,2
1460,"현대","중형차",78352,"오토","LPG","흰색","N",76,1
1850,"기아","중형차",33389,"오토","가솔린","검정색","N",39,1
1350,"현대","중형차",110027,"오토","가솔린","흰색","N",76,6
780,"현대","중형차",104007,"오토","LPG","검정색","Y",93,5
540,"기아","중형차",135065,"오토","가솔린","은색","N",134,3
740,"기아","중형차",99452,"오토","가솔린","흰색","N",135,0
960,"현대","중형차",79246,"오토","가솔린","검정색","N",110,1
2270,"현대","중형차",41279,"오토","가솔린","흰색","N",63,2
1959,"현대","중형차",62334,"오토","LPG","흰색","N",39,1
1350,"현대","중형차",88481,"오토","LPG","쥐색","N",85,1
290,"현대","중형차",98093,"오토","가솔린","검정색","Y",187,1
499,"현대","중형차",135812,"오토","가솔린","흰색","N",150,5
1160,"기아","중형차",93113,"오토","가솔린","쥐색","N",91,1
1120,"기아","중형차",93000,"오토","LPG","쥐색","N",80,3
1250,"현대","중형차",111000,"오토","디젤","명은색","N",82,3
580,"현대","중형차",139002,"오토","LPG","은회색","N",121,2
890,"기아","중형차",126076,"오토","가솔린","진주색","N",116,4
1080,"기아","중형차",110469,"오토","LPG","청색","Y",67,2
980,"기아","중형차",145000,"오토","LPG","흰색","N",61,2
980,"기아","중형차",129000,"오토","LPG","은색","N",56,3
1380,"현대","중형차",108866,"오토","가솔린","검정색","N",47,1
1199,"현대","중형차",88000,"오토","LPG","검정색","Y",81,2
290,"현대","중형차",155600,"오토","가솔린","검정색","N",175,5
940,"기아","중형차",59671,"오토","가솔린","흰색","N",127,3
990,"기아","중형차",160034,"오토","디젤","흰색","Y",62,1
960,"현대","중형차",145488,"오토","LPG","은회색","N",90,6
790,"기아","중형차",182998,"오토","LPG","흰색","N",84,1
520,"기아","중형차",136373,"오토","가솔린","검정색","Y",120,1
760,"현대","중형차",152900,"오토","LPG","은색","Y",44,1
1210,"기아","중형차",88028,"오토","가솔린","흰색","N",95,0
450,"현대","중형차",193366,"오토","가솔린","검정색","N",145,1
1480,"현대","중형차",101957,"오토","LPG","검정색","N",18,1
750,"기아","중형차",176812,"오토","LPG","청색","N",77,1
1150,"기아","중형차",124384,"오토","LPG","흰색","N",64,1
650,"현대","중형차",99610,"오토","가솔린","은회색","N",150,1
400,"현대","중형차",69440,"오토","가솔린","은색","Y",154,1
750,"현대","중형차",77782,"오토","가솔린","쥐색","N",121,1
1990,"현대","중형차",63269,"오토","가솔린","검정색","N",38,1
2790,"현대","중형차",26558,"오토","가솔린","흰색","N",32,0
890,"현대","중형차",148000,"오토","LPG","흰색","N",86,2
2700,"현대","중형차",18635,"오토","LPG","검정색","N",9,1
1800,"현대","중형차",33356,"오토","가솔린","흰색","N",63,1
1490,"현대","중형차",96912,"오토","가솔린","흰색","N",63,1
890,"기아","중형차",158244,"오토","LPG","흰색","N",58,3
340,"현대","중형차",168164,"오토","가솔린","검정색","Y",158,3
1670,"기아","중형차",28122,"오토","LPG","검정색","N",48,1
260,"현대","중형차",194554,"오토","LPG","검정색","N",190,5
1699,"현대","중형차",121000,"오토","LPG","진주색","N",30,1
910,"기아","중형차",138151,"오토","가솔린","검정색","N",101,5
1530,"기아","중형차",28984,"오토","LPG","은색","N",47,3
2530,"현대","중형차",9614,"오토","가솔린","쥐색","N",9,1
555,"현대","중형차",187491,"오토","LPG","진주색","N",142,5
1100,"현대","중형차",121301,"오토","LPG","쥐색","N",86,2
1120,"현대","중형차",103632,"오토","가솔린","검정색","N",83,2
1780,"기아","중형차",59223,"오토","가솔린","흰색","N",64,0
820,"기아","중형차",130436,"오토","LPG","은색","N",85,3
470,"기아","중형차",208654,"오토","LPG","은색","N",123,1
530,"현대","중형차",167403,"오토","가솔린","은색","N",154,1
1370,"현대","중형차",95332,"오토","가솔린","흰색","N",87,1
2790,"기아","중형차",33684,"오토","가솔린","흰색","N",23,1
930,"현대","중형차",111779,"오토","가솔린","검정색","N",99,5
1200,"기아","중형차",116851,"오토","가솔린","흰색","N",80,0
1630,"현대","중형차",59191,"오토","가솔린","흰색","N",74,1
490,"기아","중형차",222048,"오토","LPG","은색","N",126,3
1550,"현대","중형차",78373,"오토","가솔린","쥐색","N",79,1
1370,"현대","중형차",107715,"오토","가솔린","쥐색","N",45,1
580,"현대","중형차",138675,"오토","LPG","검정색","N",140,7
1230,"기아","중형차",52314,"오토","LPG","쥐색","N",51,4
1290,"기아","중형차",72185,"오토","LPG","흰색","N",64,2
2399,"현대","중형차",37715,"오토","가솔린","청색","N",30,1
1650,"현대","중형차",62000,"오토","LPG","흰색","N",51,1
2350,"현대","중형차",21283,"오토","가솔린","진주색","N",36,1
920,"현대","중형차",146315,"오토","LPG","흰색","Y",88,4
580,"기아","중형차",174472,"오토","LPG","흰색","N",84,1
830,"기아","중형차",125580,"오토","가솔린","진주색","N",104,2
730,"기아","중형차",150856,"오토","가솔린","검정색","N",112,7
750,"기아","중형차",169646,"오토","LPG","흰색","N",80,1
1370,"기아","중형차",68000,"오토","LPG","쥐색","N",59,3
890,"현대","중형차",178690,"오토","가솔린","흰색","N",98,5
500,"기아","중형차",158144,"오토","가솔린","은색","N",146,5
1180,"현대","중형차",103083,"오토","가솔린","쥐색","Y",73,1
1970,"기아","중형차",45830,"오토","가솔린","검정색","N",45,2
790,"현대","중형차",47955,"오토","가솔린","흰색","N",143,1
1350,"현대","중형차",69060,"오토","LPG","청색","N",97,1
390,"현대","중형차",79994,"오토","가솔린","흰색","N",158,1
930,"기아","중형차",105283,"오토","가솔린","흰색","N",118,2
999,"기아","중형차",62168,"오토","가솔린","흰색","N",106,1
1099,"현대","중형차",170537,"오토","가솔린","흰색","N",78,4
280,"현대","중형차",169880,"오토","LPG","검정색","N",189,0
2579,"현대","중형차",24460,"오토","가솔린","쥐색","N",37,2
850,"기아","중형차",113491,"오토","가솔린","흰색","N",111,3
570,"기아","중형차",135800,"오토","LPG","은색","N",125,4
1280,"기아","중형차",120655,"오토","LPG","은색","N",52,1
1250,"현대","중형차",103309,"오토","LPG","흰색","N",99,1
520,"현대","중형차",197163,"오토","LPG","검정색","N",99,5
2040,"현대","중형차",57791,"오토","가솔린","흰색","N",39,2
1390,"현대","중형차",68486,"오토","LPG","흰색","N",54,2
1450,"기아","중형차",111196,"오토","가솔린","검정색","N",51,2
2690,"현대","중형차",49738,"오토","가솔린","청색","N",33,1
420,"현대","중형차",230388,"오토","LPG","쥐색","N",148,2
1350,"현대","중형차",73839,"오토","가솔린","쥐색","Y",48,1
619,"현대","중형차",35000,"오토","가솔린","은색","N",151,1
1030,"기아","중형차",100837,"오토","가솔린","흰색","N",91,5
560,"현대","중형차",126471,"오토","가솔린","진주색","N",148,1
890,"현대","중형차",43280,"오토","가솔린","쥐색","Y",72,6
1430,"현대","중형차",31760,"오토","LPG","은색","N",44,2
1280,"현대","중형차",96418,"오토","가솔린","검정색","N",79,1
2590,"현대","중형차",57551,"오토","가솔린","흰색","N",38,0
1530,"기아","중형차",108627,"오토","LPG","청색","N",45,1
540,"기아","중형차",162442,"오토","LPG","흰색","N",144,6
580,"기아","중형차",151364,"오토","LPG","진주색","N",141,6
1170,"기아","중형차",87734,"오토","LPG","흰색","Y",63,1
930,"기아","중형차",104832,"오토","LPG","은색","N",51,1
470,"기아","중형차",245600,"오토","가솔린","은색","N",130,1
660,"기아","중형차",180643,"오토","LPG","흰색","N",124,4
1170,"현대","중형차",75114,"오토","가솔린","검정색","Y",69,2
690,"현대","중형차",78155,"오토","가솔린","쥐색","N",144,1
1240,"현대","중형차",109000,"오토","가솔린","흰색","N",74,5
790,"현대","중형차",89934,"오토","가솔린","쥐색","N",137,1
2760,"기아","중형차",46600,"오토","가솔린","청색","N",31,1
1490,"현대","중형차",74000,"오토","LPG","쥐색","N",59,2
2260,"현대","중형차",43961,"오토","가솔린","흰색","N",35,1
999,"기아","중형차",106149,"오토","가솔린","쥐색","N",90,1
1090,"기아","중형차",175982,"오토","LPG","흰색","N",77,1
1170,"현대","중형차",101231,"오토","LPG","쥐색","N",52,2
980,"현대","중형차",77237,"오토","가솔린","흰색","N",117,1
1399,"현대","중형차",48662,"오토","가솔린","빨간색","N",93,1
2599,"기아","중형차",18581,"오토","가솔린","검정색","Y",11,1
2230,"현대","중형차",20924,"오토","가솔린","금색","N",38,1
1390,"기아","중형차",68295,"오토","LPG","흰색","N",65,1
1720,"기아","중형차",28966,"오토","가솔린","쥐색","N",39,1
1250,"기아","중형차",130000,"오토","LPG","쥐색","N",42,1
859,"기아","중형차",130000,"오토","가솔린","흰색","N",108,5
1250,"기아","중형차",80000,"오토","LPG","흰색","Y",73,1
1175,"현대","중형차",108000,"오토","LPG","검정색","N",41,3
2879,"기아","중형차",10728,"오토","가솔린","쥐색","N",22,0
579,"현대","중형차",114516,"오토","가솔린","은회색","N",142,2
899,"현대","중형차",136500,"오토","LPG","흰색","N",97,1
2890,"현대","중형차",31131,"오토","가솔린","검정색","N",13,1
690,"기아","중형차",97433,"오토","가솔린","은색","N",137,2
1199,"현대","중형차",115804,"오토","디젤","쥐색","N",76,1
630,"현대","중형차",108262,"오토","LPG","은색","Y",149,4
490,"현대","중형차",130524,"오토","가솔린","은색","N",153,1
890,"현대","중형차",203264,"오토","디젤","흰색","N",82,1
1250,"현대","중형차",99600,"오토","디젤","은하색","N",81,2
1479,"현대","중형차",59191,"오토","LPG","흰색","N",96,1
1319,"기아","중형차",90000,"오토","가솔린","흰색","Y",61,1
1430,"기아","중형차",92947,"오토","가솔린","진주색","N",58,5
620,"현대","중형차",144958,"오토","가솔린","흰색","N",151,7
1100,"기아","중형차",48933,"오토","가솔린","연금색","N",99,5
810,"현대","중형차",157656,"오토","LPG","흰색","Y",83,3
1430,"현대","중형차",87237,"오토","LPG","흰색","N",63,1
1019,"현대","중형차",141590,"오토","LPG","검정색","N",85,4
990,"현대","중형차",185740,"오토","LPG","검정색","N",41,3
811,"기아","중형차",147978,"오토","LPG","흰색","N",130,2
1961,"기아","중형차",9091,"오토","가솔린","검정색","N",29,0
990,"현대","중형차",130449,"오토","LPG","검정색","N",76,1
1150,"기아","중형차",83748,"오토","가솔린","흰색","Y",103,1
1380,"기아","중형차",70433,"오토","가솔린","흰색","N",58,2
1540,"현대","중형차",116493,"오토","LPG","쥐색","N",58,0
570,"현대","중형차",138000,"오토","가솔린","검정색","N",149,2
1170,"기아","중형차",97592,"오토","가솔린","검정색","N",96,6
1690,"기아","중형차",59486,"오토","가솔린","흰색","N",61,2
3230,"기아","중형차",11498,"오토","LPG","검정색","N",19,1
1600,"현대","중형차",30394,"오토","LPG","흰색","N",85,3
350,"현대","중형차",175118,"오토","가솔린","은색","N",160,4
549,"기아","중형차",216358,"오토","LPG","은색","N",87,2
260,"현대","중형차",158631,"오토","LPG","은색","N",178,3
1299,"현대","중형차",111182,"오토","가솔린","쥐색","N",42,2
950,"현대","중형차",69700,"오토","가솔린","검정색","N",102,0
2160,"현대","중형차",34471,"오토","가솔린","검정색","N",56,1
360,"현대","중형차",71741,"오토","가솔린","은색","N",177,1
800,"기아","중형차",59542,"오토","가솔린","검정색","Y",100,7
1390,"기아","중형차",82003,"오토","LPG","검정색","N",42,1
1190,"기아","중형차",79729,"오토","LPG","흰색","Y",66,5
1270,"기아","중형차",116954,"오토","디젤","진주색","N",75,1
1720,"기아","중형차",69017,"오토","가솔린","검정색","N",43,1
2420,"현대","중형차",17450,"오토","가솔린","쥐색","N",27,0
540,"기아","중형차",145000,"오토","가솔린","흰색","N",121,7
2850,"기아","중형차",14634,"오토","가솔린","청색","N",26,0
1389,"기아","중형차",54966,"오토","가솔린","검정색","N",58,2
1099,"기아","중형차",134781,"오토","LPG","흰색","N",47,1
1499,"기아","중형차",68707,"오토","LPG","흰색","N",47,1
1290,"현대","중형차",135964,"오토","가솔린","검정색","N",52,1
1630,"현대","중형차",67009,"오토","LPG","흰색","N",40,1
420,"현대","중형차",159125,"오토","가솔린","은색","Y",148,8
1340,"기아","중형차",68144,"오토","LPG","흰색","Y",63,2
2160,"현대","중형차",12063,"오토","가솔린","빨간색","N",32,2
1240,"기아","중형차",92700,"오토","LPG","검정색","N",64,4
1050,"현대","중형차",78132,"오토","가솔린","검정색","N",93,6
1560,"현대","중형차",14016,"오토","가솔린","쥐색","N",43,2
1430,"현대","중형차",84862,"오토","가솔린","흰색","N",54,0
1230,"현대","중형차",128343,"오토","LPG","검정색","N",58,1
560,"현대","중형차",163585,"오토","가솔린","검정색","Y",115,3
1250,"현대","중형차",92988,"오토","가솔린","은색","N",80,0
1899,"현대","중형차",94385,"오토","LPG","흰색","N",24,1
1730,"기아","중형차",57177,"오토","가솔린","흰색","N",66,2
650,"기아","중형차",101875,"오토","가솔린","흰색","N",138,4
980,"현대","중형차",140328,"오토","LPG","흰색","N",63,2
2230,"현대","중형차",41381,"오토","가솔린","흰색","N",38,3
980,"기아","중형차",148755,"오토","LPG","검정색","Y",65,1
930,"기아","중형차",72297,"오토","가솔린","검정색","Y",83,2
920,"기아","중형차",152047,"오토","LPG","흰색","N",78,5
620,"현대","중형차",88839,"오토","가솔린","검정색","N",143,5
620,"현대","중형차",117329,"오토","LPG","은회색","N",148,4
799,"기아","중형차",75280,"오토","가솔린","은회색","N",119,4
1500,"현대","중형차",58610,"오토","LPG","은회색","N",81,1
1530,"기아","중형차",81152,"오토","가솔린","흰색","N",48,2
1680,"현대","중형차",51910,"오토","LPG","흰색","N",61,1
599,"현대","중형차",103000,"오토","가솔린","흰색","N",148,1
3049,"기아","중형차",5869,"오토","가솔린","흰색","N",27,0
330,"현대","중형차",183088,"오토","LPG","은색","N",155,4
820,"기아","중형차",118421,"오토","LPG","흰색","N",141,7
2790,"기아","중형차",7482,"오토","가솔린","흰색","N",17,2
2190,"현대","중형차",56800,"오토","가솔린","쥐색","N",53,2
1249,"기아","중형차",94850,"오토","디젤","흰색","N",70,7
499,"기아","중형차",220393,"오토","가솔린","검정색","N",143,5
1360,"기아","중형차",49911,"오토","가솔린","진주색","N",97,1
480,"기아","중형차",262752,"오토","LPG","흰색","N",87,1
1430,"기아","중형차",121854,"오토","가솔린","흰색","N",46,2
620,"현대","중형차",95470,"오토","가솔린","진주색","N",151,4
1590,"기아","중형차",49479,"오토","디젤","흰색","N",79,1
660,"기아","중형차",136338,"오토","가솔린","흰색","N",134,3
1990,"현대","중형차",25000,"오토","가솔린","흰색","N",58,1
1290,"현대","중형차",84377,"오토","가솔린","검정색","N",87,1
530,"현대","중형차",112000,"오토","가솔린","검정색","N",142,2
599,"현대","중형차",117000,"오토","LPG","흰색","N",142,2
2240,"기아","중형차",55000,"오토","디젤","검정색","N",51,5
1250,"현대","중형차",130646,"오토","LPG","검정색","N",40,1
1199,"기아","중형차",77000,"오토","LPG","진주색","N",79,1
490,"기아","중형차",142551,"오토","LPG","은회색","Y",138,4
697,"현대","중형차",77801,"오토","가솔린","흰색","Y",130,2
630,"기아","중형차",166000,"오토","LPG","흰색","N",144,5
770,"기아","중형차",114500,"오토","LPG","흰색","N",89,2
770,"기아","중형차",120600,"오토","LPG","흰색","N",89,2
470,"현대","중형차",135000,"오토","가솔린","검정색","N",151,8
420,"현대","중형차",119182,"오토","가솔린","은색","N",147,4
759,"기아","중형차",128717,"오토","가솔린","흰색","N",126,5
1530,"현대","중형차",51048,"오토","LPG","흰색","N",99,1
990,"현대","중형차",177539,"오토","가솔린","검정색","N",97,2
2320,"기아","중형차",43338,"오토","가솔린","검정색","N",40,2
1880,"현대","중형차",75328,"오토","가솔린","검정색","N",52,2
1170,"기아","중형차",114850,"오토","가솔린","흰색","N",90,3
1159,"기아","중형차",180725,"오토","LPG","청색","N",52,1
1170,"기아","중형차",120294,"오토","LPG","청색","N",57,1
1580,"현대","중형차",39359,"오토","LPG","흰색","N",51,1
770,"기아","중형차",106081,"오토","가솔린","흰색","N",141,1
1550,"현대","중형차",74968,"오토","가솔린","흰색","N",64,4
899,"기아","중형차",156204,"오토","디젤","청색","Y",83,5
2590,"현대","중형차",30664,"오토","가솔린","흰색","N",37,1
2530,"기아","중형차",50928,"오토","LPG","흰색","N",25,1
2998,"현대","중형차",10389,"오토","가솔린","흰색","N",29,0
1499,"현대","중형차",117670,"오토","LPG","쥐색","N",52,1
650,"기아","중형차",90384,"오토","가솔린","은색","N",145,1
1190,"현대","중형차",106010,"오토","LPG","흰색","N",66,2
660,"기아","중형차",101747,"오토","가솔린","흰색","N",132,3
1050,"현대","중형차",109458,"오토","LPG","검정색","N",87,3
1270,"기아","중형차",131761,"오토","가솔린","흰색","N",67,2
1650,"현대","중형차",52385,"오토","LPG","쥐색","N",52,1
2480,"기아","중형차",30549,"오토","가솔린","쥐색","N",29,2
1500,"현대","중형차",25801,"오토","가솔린","검정색","N",68,1
830,"기아","중형차",174470,"오토","LPG","검정색","N",40,2
550,"현대","중형차",163659,"오토","가솔린","검정색","N",148,7
1290,"현대","중형차",107058,"오토","LPG","흰색","N",64,2
1050,"기아","중형차",110944,"오토","LPG","흰색","Y",63,2
990,"현대","중형차",127137,"오토","LPG","은색","N",34,1
920,"기아","중형차",135690,"오토","가솔린","흰색","N",97,0
2580,"기아","중형차",5514,"오토","가솔린","은회색","N",18,1
970,"현대","중형차",110021,"오토","LPG","쥐색","Y",75,2
920,"기아","중형차",158840,"오토","LPG","은색","N",37,1
1190,"기아","중형차",158812,"오토","LPG","검정색","N",52,0
290,"현대","중형차",133900,"오토","LPG","검정색","Y",194,4
1120,"기아","중형차",141800,"오토","LPG","흰색","N",84,9
1730,"기아","중형차",36299,"오토","가솔린","흰색","N",80,1
1999,"현대","중형차",48767,"오토","가솔린","흰색","N",43,1
1360,"현대","중형차",104000,"오토","가솔린","쥐색","N",58,2
1280,"기아","중형차",67000,"오토","디젤","청색","N",75,5
1690,"현대","중형차",84549,"오토","LPG","흰색","N",33,1
495,"현대","중형차",230791,"오토","LPG","은색","N",120,4
830,"기아","중형차",90794,"오토","가솔린","흰색","N",132,0
1730,"현대","중형차",93688,"오토","가솔린","청색","N",49,1
790,"현대","중형차",151444,"오토","LPG","은색","N",82,2
890,"현대","중형차",91633,"오토","가솔린","흰색","N",115,1
1790,"현대","중형차",38414,"오토","가솔린","쥐색","N",50,2
490,"현대","중형차",103168,"오토","가솔린","은색","Y",134,3
1920,"현대","중형차",89831,"오토","LPG","흰색","N",38,1
1199,"현대","중형차",108019,"오토","LPG","진주색","N",58,1
750,"기아","중형차",164285,"오토","LPG","흰색","N",80,1
1450,"현대","중형차",46699,"오토","LPG","쥐색","N",40,2
3090,"기아","중형차",34966,"오토","가솔린","흰색","N",24,1
880,"기아","중형차",69199,"오토","가솔린","은회색","N",129,2
1399,"기아","중형차",80850,"오토","가솔린","진주색","N",80,1
2399,"현대","중형차",23570,"오토","가솔린","빨간색","N",29,1
1850,"현대","중형차",31396,"오토","가솔린","흰색","N",58,1
840,"현대","중형차",182092,"오토","LPG","흰색","N",66,4
750,"기아","중형차",124396,"오토","가솔린","흰색","N",124,1
930,"현대","중형차",178640,"오토","디젤","검정색","N",79,0
1729,"기아","중형차",91276,"오토","가솔린","검정색","N",39,1
850,"기아","중형차",105753,"오토","가솔린","검정색","N",122,7
999,"현대","중형차",151144,"오토","LPG","흰색","N",54,1
990,"기아","중형차",78069,"오토","가솔린","흰색","N",119,1
1550,"현대","중형차",104555,"오토","가솔린","쥐색","N",40,2
1729,"현대","중형차",53856,"오토","가솔린","검정색","N",38,1
2380,"기아","중형차",29292,"오토","가솔린","흰색","N",52,1
1390,"기아","중형차",90816,"오토","가솔린","청색","N",72,3
2020,"현대","중형차",59865,"오토","가솔린","흰색","N",38,2
1100,"현대","중형차",153700,"오토","LPG","쥐색","N",41,2
680,"현대","중형차",190307,"오토","가솔린","흰색","Y",96,7
1730,"현대","중형차",28942,"오토","가솔린","흰색","N",53,0
620,"현대","중형차",138158,"오토","가솔린","흰색","N",150,7
750,"현대","중형차",188530,"오토","LPG","흰색","N",57,1
290,"현대","중형차",136695,"오토","LPG","은색","N",198,5
690,"기아","중형차",173678,"오토","LPG","흰색","N",101,1
699,"기아","중형차",122608,"오토","가솔린","흰색","N",125,3
599,"현대","중형차",109116,"오토","가솔린","흰색","N",146,7
2430,"현대","중형차",28130,"오토","가솔린","흰색","N",30,2
530,"현대","중형차",73000,"오토","가솔린","흰색","N",143,2
480,"기아","중형차",260492,"오토","LPG","흰색","N",87,1
590,"현대","중형차",114508,"오토","가솔린","은회색","N",146,3
570,"현대","중형차",144116,"오토","가솔린","쥐색","Y",123,1
1080,"현대","중형차",132041,"오토","LPG","검정색","N",69,3
1700,"기아","중형차",37276,"오토","LPG","검정색","N",48,1
1480,"현대","중형차",117387,"오토","가솔린","흰색","N",63,2
390,"현대","중형차",119996,"오토","LPG","검정색","N",174,0
580,"현대","중형차",132168,"오토","가솔린","흰색","N",153,5
900,"현대","중형차",136861,"오토","LPG","흰색","Y",48,1
530,"현대","중형차",194259,"오토","가솔린","은색","N",138,1
1590,"현대","중형차",95134,"오토","가솔린","검정색","N",42,1
1630,"현대","중형차",84826,"오토","가솔린","검정색","N",40,1
1340,"현대","중형차",113000,"오토","LPG","흰색","N",60,2
390,"기아","중형차",175668,"오토","LPG","은회색","Y",138,11
1970,"기아","중형차",11072,"오토","LPG","은색","N",36,0
699,"기아","중형차",110000,"오토","LPG","검정색","N",127,3
1490,"현대","중형차",115301,"오토","LPG","쥐색","N",61,1
1080,"기아","중형차",107075,"오토","가솔린","검정투톤","N",84,3
780,"현대","중형차",150120,"오토","LPG","은색","N",100,1
1440,"현대","중형차",56574,"오토","LPG","검정색","Y",88,3
2399,"현대","중형차",13978,"오토","가솔린","흰색","N",25,1
1120,"기아","중형차",119032,"오토","LPG","흰색","N",64,2
670,"기아","중형차",106424,"오토","가솔린","흰색","N",145,2
2420,"현대","중형차",82439,"오토","LPG","쥐색","N",37,2
590,"기아","중형차",95204,"오토","가솔린","은색","N",143,5
899,"현대","중형차",62300,"오토","LPG","흰색","N",126,3
990,"현대","중형차",151126,"오토","LPG","검정색","Y",50,2
1330,"기아","중형차",84000,"오토","LPG","흰색","N",63,1
630,"현대","중형차",94849,"오토","가솔린","청색","N",124,4
790,"기아","중형차",140843,"오토","LPG","흰색","Y",105,2
1599,"현대","중형차",83811,"오토","LPG","쥐색","N",53,1
570,"현대","중형차",101267,"오토","가솔린","은회색","N",153,3
1390,"현대","중형차",125396,"오토","가솔린","쥐색","N",49,1
2299,"현대","중형차",26781,"오토","가솔린","흰색","N",28,1
550,"기아","중형차",100507,"오토","가솔린","은색","N",141,2
