선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
양창섭,삼성,2,3,0,0,0,6,6,20.1,4.43,5.31,1.33,0.304,54.9,8.41,-0.14,6.19,6.51,-0.25
정찬헌,Hero,5,6,0,0,0,20,20,87.1,4.33,2.89,1.34,0.31,69.8,5.36,0.75,5.41,5.64,-0.25
류희운,한화,0,1,0,0,0,15,0,11.2,7.71,5.4,1.54,0.371,61.3,8.49,-0.31,6.17,6.39,-0.25
유승철,KIA,3,0,0,0,0,21,0,19.0,6.63,7.58,2.37,0.281,56.7,7.58,-0.58,7.66,7.83,-0.26
전창민,두산,0,0,0,0,0,9,0,9.1,2.89,7.71,1.93,0.385,22.5,19.29,-0.78,8.06,8.54,-0.28
최민준,SSG,5,4,0,5,2,51,1,68.1,6.32,4.48,1.32,0.216,68.5,3.95,0.61,5.33,5.42,-0.28
이강준,롯데,0,0,0,1,0,13,0,9.2,5.59,18.62,0.93,0.267,65.2,10.24,-0.13,9.65,10.4,-0.29
백승현,LG,0,1,0,1,1,12,0,10.0,2.7,8.1,1.8,0.351,51.9,10.8,-0.57,7.44,7.87,-0.3
최하늘,삼성,1,4,0,1,0,14,5,33.2,4.81,4.28,1.34,0.325,69.2,6.15,-0.14,5.72,5.93,-0.3
로니,KIA,3,3,0,0,0,10,9,44.1,6.5,5.68,1.42,0.296,61.6,5.89,-0.15,6.05,6.24,-0.32
이상민,삼성,0,0,0,9,1,46,0,29.1,7.06,4.6,1.53,0.275,85.4,3.68,1.04,5.73,5.86,-0.33
김성진,Hero,0,2,0,2,0,23,0,21.2,6.65,4.15,1.25,0.394,47.7,7.89,-0.81,5.46,5.67,-0.33
김준형,Hero,0,1,0,0,0,12,0,13.1,4.05,8.78,0.0,0.231,87.5,2.02,0.37,5.82,6.43,-0.34
남하준,KIA,1,1,0,1,0,11,0,10.1,5.23,5.23,3.48,0.378,72.2,8.71,-0.31,9.24,9.58,-0.34
박주성,Hero,1,1,0,0,0,11,0,13.0,5.54,4.85,2.77,0.184,77.9,5.54,-0.1,8.19,8.62,-0.34
미란다,두산,0,0,0,0,0,3,3,7.2,9.39,21.13,0.0,0.133,66.7,8.22,-0.12,8.69,9.41,-0.35
고영창,KIA,0,1,0,0,0,27,0,24.0,3.38,3.75,0.75,0.282,93.6,1.88,0.67,5.3,5.72,-0.35
김유신,KIA,1,0,0,0,0,10,0,14.2,5.52,9.82,1.84,0.146,67.3,6.14,0.08,8.05,8.42,-0.37
윤명준,두산,1,1,0,0,0,20,0,22.1,6.04,3.22,3.22,0.338,58.4,8.46,-0.79,7.73,7.82,-0.39
허윤동,삼성,4,3,0,0,0,12,12,55.0,5.89,5.56,1.31,0.315,65.7,6.55,-0.1,6.11,6.39,-0.41
박준표,KIA,1,0,0,8,1,34,0,23.1,4.24,3.86,1.54,0.295,76.1,5.4,0.38,6.56,7.16,-0.43
박민호,SSG,1,1,1,4,1,22,0,22.0,4.91,4.5,1.23,0.315,83.3,4.09,0.16,5.66,5.94,-0.46
김기중,한화,0,2,0,0,0,5,3,12.0,6.0,8.25,3.0,0.263,78.4,6.0,-0.15,9.34,9.73,-0.5
박윤철,한화,0,3,0,0,0,11,7,33.1,4.32,6.21,1.35,0.308,74.6,4.59,0.0,6.58,6.96,-0.52
김태훈,SSG,0,0,1,2,0,9,0,5.1,1.69,16.88,3.38,0.235,75.8,10.12,-0.04,13.47,14.47,-0.56
박신지,두산,1,6,0,0,0,29,9,61.2,5.55,5.84,1.02,0.355,66.3,6.71,-0.57,5.77,6.06,-0.64
강재민,한화,4,8,7,8,5,56,0,51.1,6.84,5.08,1.23,0.25,75.9,4.21,0.2,5.06,5.15,-0.67
