선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
문승원,SSG,1,1,3,3,1,23,0,24.2,9.12,2.55,1.09,0.397,70.7,5.11,0.48,3.99,3.85,0.34
장지훈,SSG,2,0,0,6,2,40,0,55.0,5.4,1.8,0.98,0.289,71.4,4.25,0.5,4.21,4.28,0.32
김동혁,Hero,2,1,0,3,1,24,0,26.2,6.08,3.71,0.0,0.333,65.0,4.72,0.11,3.12,3.17,0.31
윤산흠,한화,1,1,0,3,2,37,0,33.2,12.3,8.02,0.27,0.293,80.2,2.67,0.74,3.49,3.26,0.31
이승현(20),삼성,0,2,0,13,1,54,0,50.0,7.02,3.96,0.9,0.299,71.2,4.68,0.76,4.52,4.57,0.3
배재준,LG,0,1,0,0,0,17,5,31.1,6.61,4.31,0.0,0.253,73.2,2.3,0.82,3.69,3.88,0.3
박상원,한화,0,0,0,4,1,14,0,12.0,12.0,4.5,0.0,0.367,76.5,2.25,0.53,2.17,1.78,0.28
이민석,롯데,1,1,0,5,0,27,1,33.2,9.89,5.08,1.07,0.386,63.4,5.88,0.33,4.47,4.35,0.27
한승주,한화,0,0,0,0,0,7,2,15.2,6.89,2.3,0.0,0.439,65.6,6.32,-0.03,3.15,3.31,0.26
노바,SSG,3,4,0,0,0,12,12,63.2,4.52,3.53,0.71,0.329,57.4,6.5,-0.1,4.77,5.03,0.26
문성현,Hero,0,1,13,9,4,45,0,41.1,6.97,3.05,0.65,0.265,73.7,3.27,1.02,3.83,3.8,0.25
김선기,Hero,3,1,1,4,1,26,2,36.2,7.36,4.66,0.25,0.333,61.4,5.15,0.01,3.7,3.74,0.25
김강률,두산,3,4,9,1,4,26,0,24.2,5.47,2.92,0.73,0.317,71.0,4.38,1.31,4.15,4.28,0.25
김태경,NC,3,2,0,1,0,16,7,44.1,6.29,4.26,0.81,0.242,81.6,3.25,1.57,4.88,5.07,0.22
김태훈,Hero,3,2,9,10,4,43,0,43.0,7.12,4.19,0.63,0.298,76.1,3.14,0.8,4.06,4.09,0.2
박시영,KT,0,2,0,5,0,17,0,15.2,6.32,2.3,1.15,0.347,74.3,4.6,0.23,4.17,4.11,0.2
정우영,LG,2,3,0,35,3,67,0,58.0,6.21,4.97,0.47,0.269,83.1,2.64,2.57,4.34,4.53,0.18
서동민,SSG,1,1,0,5,0,20,0,21.0,8.14,4.71,1.29,0.192,67.3,2.57,0.84,5.1,5.1,0.18
문경찬,롯데,1,2,0,1,1,38,0,40.1,6.92,2.9,1.56,0.341,68.8,5.8,0.09,5.03,5.0,0.17
김대우,삼성,1,0,0,0,0,4,0,4.1,10.38,0.0,0.0,0.364,75.0,2.08,0.11,1.03,0.57,0.16
윤호솔,한화,3,5,0,7,2,52,0,42.1,7.02,5.74,0.43,0.306,66.0,4.04,0.91,4.24,4.31,0.16
함덕주,LG,0,0,0,0,0,13,0,12.2,9.24,7.82,0.0,0.29,85.7,2.13,0.41,4.13,4.21,0.15
