"price";"date";"aptName";"dongName";"householdCnt";"floorAreaRate";"parkingLotCnt";"exclusiveArea";"floor"
"64";12.95;"2020-01-13";"푸른마을";"일원동";930;249;930;59.76;9
"65";14.6;"2020-01-13";"개포우성5차";"도곡동";180;179;144;70.89;2
"66";22.5;"2020-01-13";"도곡아이파크1차";"도곡동";321;295;548;130.259;10
"67";17.4;"2020-01-13";"우성캐릭터199";"도곡동";199;620;902;132.94;25
"68";12.5;"2020-01-14";"성영포유";"역삼동";19;226;32;115.4;3
"69";18;"2020-01-14";"개포주공6단지";"개포동";1060;0;300;60.13;14
"70";18;"2020-01-14";"개포주공7단지";"개포동";900;0;400;60.13;14
"71";2.2;"2020-01-14";"청담스위트(도시형)";"청담동";124;199;57;14.224;3
"72";22;"2020-01-14";"은마";"대치동";4424;204;3021;84.43;13
"73";25.25;"2020-01-14";"대치아이파크";"대치동";768;274;1171;84.93;9
"74";30;"2020-01-14";"선경1,2차";"대치동";1034;179;1661;127.75;12
"75";8;"2020-01-14";"제이빌";"논현동";32;242;32;75.12;2
"76";9.5;"2020-01-14";"현대아이리스";"도곡동";17;232;29;113.18;4
"77";5.5;"2020-01-15";"세종빌라트";"역삼동";19;254;20;122.45;1
"78";14.3;"2020-01-15";"청담범신칼릭스빌2차";"청담동";18;199;22;102.69;3
"79";7.95;"2020-01-15";"까치마을";"수서동";1404;208;1410;34.44;9
"80";19.2;"2020-01-15";"도곡삼성래미안";"도곡동";732;291;1122;84.89;7
"81";19.5;"2020-01-15";"현대벨라하우스";"도곡동";8;212;17;244.59;2
"82";6.5;"2020-01-16";"역삼우정에쉐르1";"역삼동";69;548;69;57.98;12
"83";16.1;"2020-01-16";"삼성펠리스(129-5)";"삼성동";18;246;41;174.1;6
"84";27;"2020-01-16";"미성2차";"압구정동";911;0;1093;118.63;5
"85";27;"2020-01-16";"타워팰리스3차";"도곡동";480;791;1785;141.381;35
"86";18.8;"2020-01-17";"래미안블레스티지";"개포동";1957;249;3153;59.897;4
"87";29.5;"2020-01-17";"삼성롯데캐슬킹덤";"삼성동";118;234;276;170.8;12
"88";11;"2020-01-17";"청학";"논현동";70;220;50;85.12;5
"89";24;"2020-01-17";"스위트케슬레지던스";"논현동";17;266;38;203.17;6
"90";8.5;"2020-01-17";"까치마을";"수서동";1404;208;1410;39.6;3
"91";5.8;"2020-01-18";"역삼예명";"역삼동";15;237;21;67.08;3
"92";14.4;"2020-01-18";"삼환";"청담동";184;264;185;84.88;1
"93";2.16;"2020-01-18";"청담스위트(도시형)";"청담동";124;199;57;13.425;3
"94";16.7;"2020-01-18";"삼환";"청담동";184;264;185;114.97;5
"95";14.4;"2020-01-18";"논현신동아파밀리에";"논현동";644;245;684;84.52;11
"96";21.3;"2020-01-18";"영동한양1차";"압구정동";936;211;561;78.05;6
"97";14.6;"2020-01-18";"래미안강남힐즈";"자곡동";1020;159;1554;91.96;3
"98";8.4;"2020-01-18";"까치마을";"수서동";1404;208;1410;39.6;2
"99";10;"2020-01-18";"신동아";"수서동";1162;203;325;39.51;10
"100";3.58;"2020-01-20";"한화진넥스빌";"역삼동";294;1045;213;39.2;13
"101";3.2;"2020-01-20";"역삼디오빌";"역삼동";457;966;338;30.03;6
"102";14.5;"2020-01-20";"삼성팰리스(71-16)";"삼성동";19;249;32;114.26;8
"103";20.8;"2020-01-20";"대치우성1차";"대치동";476;179;498;84.69;2
"104";16.5;"2020-01-20";"논현신동아파밀리에";"논현동";644;245;684;114.34;13
"105";15;"2020-01-20";"강남파라곤";"논현동";58;789;41;120.21;12
"106";13.7;"2020-01-20";"논현두산위브2단지";"논현동";136;244;176;83.464;9
"107";12;"2020-01-20";"삼익";"수서동";645;224;650;60;15
"108";3.4;"2020-01-21";"테헤란로대우아이빌";"대치동";371;1096;180;29.02;13
"109";25;"2020-01-21";"래미안개포루체하임";"일원동";850;249;1301;101.97;22
"110";54.5;"2020-01-21";"로덴하우스웨스트빌리지";"도곡동";19;248;74;273.68;19
"111";8.8;"2020-01-22";"루덴하우스";"신사동";19;222;21;84.98;4
"112";28;"2020-01-22";"신현대(현대9,11,12차)";"압구정동";1924;0;2800;108.88;4
"113";37;"2020-01-23";"동부센트레빌";"대치동";805;297;1824;145.83;20
"114";14.5;"2020-01-23";"래미안신사";"신사동";63;206;82;84.89;10
"115";18.5;"2020-01-23";"목련타운";"일원동";650;249;975;134.71;2
"116";23;"2020-01-23";"대림아크로빌";"도곡동";490;936;1662;177.255;20
"117";5.55;"2020-01-28";"지석천평대";"역삼동";14;293;14;63.03;4
"118";10.7;"2020-01-28";"대청";"개포동";822;0;700;39.53;3
"119";10.7;"2020-01-28";"대치2단지";"개포동";1758;174;1758;39.53;3
"120";12.5;"2020-01-28";"강남데시앙파크";"세곡동";546;169;850;114.69;4
"121";10.85;"2020-01-28";"세곡푸르지오";"세곡동";912;174;1148;59.89;5
"122";8.99;"2020-01-28";"까치마을";"수서동";1404;208;1410;39.6;8
"123";16.48;"2020-01-29";"도곡렉슬";"도곡동";3002;274;4443;59.9772;19
"124";17.6;"2020-01-30";"청담자이";"청담동";708;266;905;49.619;26
"125";24.5;"2020-01-30";"래미안삼성1차(101동)";"삼성동";77;211;106;125.8;11
"126";8;"2020-01-30";"논현신동아파밀리에";"논현동";644;245;684;35.73;11
"127";47;"2020-01-30";"현대1,2차";"압구정동";960;224;720;196.21;14
"128";10.7;"2020-01-30";"세곡푸르지오";"세곡동";912;174;1148;59.89;13
"129";16.85;"2020-01-30";"아카데미스위트";"도곡동";414;996;808;122.07;35
"130";10.05;"2020-01-31";"대청";"개포동";822;0;700;39.53;13
"131";10.05;"2020-01-31";"대치2단지";"개포동";1758;174;1758;39.53;13
"132";2.3;"2020-01-31";"청담스위트(도시형)";"청담동";124;199;57;13.425;3
"133";2.12;"2020-01-31";"한양수자인어반게이트(도시형)";"논현동";108;249;37;16.2;3
"134";13.9;"2020-01-31";"삼익";"수서동";645;224;650;84.48;2
"135";11.9;"2020-01-31";"삼익";"수서동";645;224;650;60;2
"136";23.7;"2020-01-31";"대림아크로빌";"도곡동";490;936;1662;172.464;30
"137";14.95;"2020-01-31";"개포우성5차";"도곡동";180;179;144;70.89;7
"138";14.9;"2020-02-01";"경남";"역삼동";164;384;228;84.688;4
"139";16.7;"2020-02-01";"역삼e-편한세상";"역삼동";840;282;852;59.606;10
"140";7;"2020-02-01";"역삼우정에쉐르1";"역삼동";69;548;69;71.78;2
"141";20;"2020-02-01";"청담현대3차";"청담동";317;324;421;109.53;7
"142";20.5;"2020-02-01";"대치쌍용1차";"대치동";630;169;670;83.56;13
"143";21.2;"2020-02-01";"래미안개포루체하임";"일원동";850;249;1301;71.65;6
"144";15.1;"2020-02-01";"강남데시앙포레";"수서동";787;165;957;84.92;2
"145";2.66;"2020-02-01";"대우양재디오빌";"도곡동";155;882;123;25.89;15
"146";9.8;"2020-02-02";"압구정아인빌";"신사동";14;243;17;84.36;5
"147";3.6;"2020-02-03";"한화진넥스빌";"역삼동";294;1045;213;39.2;19
"148";19;"2020-02-03";"건영";"청담동";240;397;418;84.595;16
"149";6.9;"2020-02-03";"풍림";"삼성동";36;286;40;53.75;7
"150";8;"2020-02-03";"논현신동아파밀리에";"논현동";644;245;684;35.73;9
"151";18.5;"2020-02-03";"도곡렉슬";"도곡동";3002;274;4443;59.9818;5
"152";26.3;"2020-02-03";"도곡렉슬";"도곡동";3002;274;4443;119.8906;1
"153";21;"2020-02-04";"현대3차";"압구정동";432;0;864;82.5;1
"154";9.98;"2020-02-04";"까치마을";"수서동";1404;208;1410;49.5;9
"155";17.1;"2020-02-05";"역삼푸르지오";"역삼동";738;283;753;59.8848;11
"156";29;"2020-02-05";"진흥";"청담동";375;178;375;180.67;11
"157";4.05;"2020-02-05";"선릉LG에클라트(A동)";"삼성동";125;341;88;36.16;4
"158";14.9;"2020-02-05";"래미안신사";"신사동";63;206;82;84.89;9
"159";7.6;"2020-02-05";"까치마을";"수서동";1404;208;1410;34.44;6
"160";8.6;"2020-02-05";"신동아";"수서동";1162;203;325;33.18;7
"161";25.85;"2020-02-05";"타워팰리스2차";"도곡동";813;923;2376;164.99;24
"162";21.5;"2020-02-05";"타워팰리스3차";"도곡동";480;791;1785;124.641;51
"163";17.7;"2020-02-06";"개포주공5단지";"개포동";940;151;912;61.19;14
"164";15.45;"2020-02-06";"개포주공6단지";"개포동";1060;0;300;53.46;12
"165";15.45;"2020-02-06";"개포주공7단지";"개포동";900;0;400;53.46;12
"166";16.5;"2020-02-07";"청담e-편한세상2차(204동)";"청담동";41;234;62;98.05;7
"167";23.5;"2020-02-07";"삼성힐스테이트1단지";"삼성동";1144;276;1529;84.236;10
"168";16.5;"2020-02-07";"동현";"논현동";548;174;1096;84.92;5
"169";22.3;"2020-02-07";"현대3차";"압구정동";432;0;864;82.5;7
"170";21.9;"2020-02-07";"대림아크로빌";"도곡동";490;936;1662;172.467;29
"171";24.1;"2020-02-07";"도곡렉슬";"도곡동";3002;274;4443;114.9931;4
"172";9.5;"2020-02-07";"원팰리스";"도곡동";19;260;21;103.23;3
"173";7.2;"2020-02-08";"역삼노블카운티";"역삼동";16;221;18;81.85;1
"174";14.6;"2020-02-08";"서광";"삼성동";304;366;304;59.67;4
"175";2.15;"2020-02-08";"한양수자인어반게이트(도시형)";"논현동";108;249;37;16.2;6
"176";10.9;"2020-02-08";"세곡푸르지오";"세곡동";912;174;1148;59.89;6
"177";10.8;"2020-02-08";"강남LH1단지(e편한세상)";"세곡동";809;173;998;59.99;10
"178";8.4;"2020-02-08";"까치마을";"수서동";1404;208;1410;39.6;4
"179";23;"2020-02-08";"도곡렉슬";"도곡동";3002;274;4443;84.9984;16
"180";17.9;"2020-02-09";"역삼e-편한세상";"역삼동";840;282;852;59.947;12
"181";9;"2020-02-10";"SK허브젠";"역삼동";56;649;45;71.91;6
"182";14.6;"2020-02-10";"삼성풍림2차";"삼성동";112;275;134;93.78;2
"183";3.6;"2020-02-10";"테헤란로대우아이빌";"대치동";371;1096;180;33.11;14
"184";17.25;"2020-02-10";"도곡한라비발디";"도곡동";110;249;156;84.9569;2
"185";3.25;"2020-02-11";"역삼디오빌";"역삼동";457;966;338;30.03;7
"186";7.35;"2020-02-11";"역삼노블카운티";"역삼동";16;221;18;81.85;1
"187";10.05;"2020-02-11";"대청";"개포동";822;0;700;39.53;8
"188";10.05;"2020-02-11";"대치2단지";"개포동";1758;174;1758;39.53;8
"189";27;"2020-02-11";"우성3차";"개포동";405;179;450;161;15
"190";13.3;"2020-02-11";"삼성청담공원";"청담동";391;271;554;59.93;9
"191";19.2;"2020-02-11";"은마";"대치동";4424;204;3021;76.79;4
"192";30.3;"2020-02-11";"한보미도맨션1,2차";"대치동";2436;179;2906;128.01;13
"193";20.5;"2020-02-11";"은마";"대치동";4424;204;3021;84.43;3
"194";11.55;"2020-02-11";"삼익";"수서동";645;224;650;60;3
"195";13.2;"2020-02-11";"경남";"도곡동";348;356;389;59.76;5
"196";12.9;"2020-02-11";"극동스타클래스";"도곡동";96;629;142;112.75;12
"197";15.5;"2020-02-12";"역삼래미안";"역삼동";1050;276;1066;59.4;14
"198";16.5;"2020-02-12";"역삼e-편한세상";"역삼동";840;282;852;59.606;9
"199";19.9947;"2020-02-12";"우성9차";"개포동";232;249;311;84.9;9
"200";17.5;"2020-02-12";"래미안블레스티지";"개포동";1957;249;3153;59.967;8
"201";21.5;"2020-02-12";"개포상지리츠빌";"개포동";18;202;41;161.07;6
"202";17.3;"2020-02-12";"삼성오네뜨";"삼성동";48;253;136;153.53;7
"203";19.4;"2020-02-12";"은마";"대치동";4424;204;3021;76.79;6
"204";21.8;"2020-02-12";"한보미도맨션1,2차";"대치동";2436;179;2906;84.48;8
"205";8.99;"2020-02-12";"쌍용";"논현동";111;333;105;59.91;12
"206";26.4;"2020-02-12";"현대13차";"압구정동";234;150;201;108.47;7
"207";16;"2020-02-12";"래미안강남힐즈";"자곡동";1020;159;1554;101.94;8
"208";8.5;"2020-02-12";"까치마을";"수서동";1404;208;1410;39.6;15
"209";8.6;"2020-02-12";"까치마을";"수서동";1404;208;1410;39.6;9
"210";23;"2020-02-12";"도곡렉슬";"도곡동";3002;274;4443;84.9984;6
"211";16.1;"2020-02-13";"역삼래미안";"역삼동";1050;276;1066;59.73;13
"212";15.7;"2020-02-13";"역삼푸르지오";"역삼동";738;283;753;59.8848;6
"213";24.4;"2020-02-13";"래미안블레스티지";"개포동";1957;249;3153;84.943;10
"214";20.7;"2020-02-13";"은마";"대치동";4424;204;3021;84.43;14
"215";23.6;"2020-02-13";"현대8차";"압구정동";515;173;0;107.64;12
"216";8.3;"2020-02-13";"까치마을";"수서동";1404;208;1410;39.6;1
"217";23.05;"2020-02-13";"도곡렉슬";"도곡동";3002;274;4443;84.9984;2
"218";26;"2020-02-14";"청담파라곤Ⅱ 1단지";"청담동";18;249;52;195.88;3
"219";2.27;"2020-02-14";"청담스위트(도시형)";"청담동";124;199;57;12.449;5
"220";3.25;"2020-02-14";"선릉LG에클라트(A동)";"삼성동";125;341;88;36.16;3
"221";3.75;"2020-02-14";"선릉LG에클라트(B동)";"삼성동";293;700;161;36.35;15
"222";23.2;"2020-02-14";"대치삼성1차";"대치동";960;261;1259;97.35;11
"223";21.8;"2020-02-14";"은마";"대치동";4424;204;3021;84.43;6
"224";21.4;"2020-02-14";"은마";"대치동";4424;204;3021;84.43;14
"225";21;"2020-02-14";"은마";"대치동";4424;204;3021;84.43;8
"226";20.7;"2020-02-14";"은마";"대치동";4424;204;3021;84.43;11
"227";2.2;"2020-02-14";"한양수자인어반게이트(도시형)";"논현동";108;249;37;16.2;4
"228";16.8;"2020-02-14";"가람";"일원동";496;109;496;75.16;2
"229";16;"2020-02-14";"한솔마을";"일원동";570;108;1140;84.73;4
"230";17.5;"2020-02-14";"샘터마을";"일원동";628;249;950;101.97;11
"231";26.5;"2020-02-14";"타워팰리스1차";"도곡동";1297;919;3695;164.97;19
"232";32;"2020-02-14";"도곡렉슬";"도곡동";3002;274;4443;134.9023;14
"233";29.5;"2020-02-14";"타워팰리스2차";"도곡동";813;923;2376;164.99;37
"234";14.6;"2020-02-15";"역삼래미안";"역삼동";1050;276;1066;59.73;7
"235";17.5;"2020-02-15";"역삼롯데캐슬노블";"역삼동";117;249;317;176.03;4
"236";15.3;"2020-02-15";"역삼e-편한세상";"역삼동";840;282;852;59.606;1
"237";18.1;"2020-02-15";"건영";"청담동";240;397;418;84.595;14
"238";14.65;"2020-02-15";"서광";"삼성동";304;366;304;59.67;9
"239";24;"2020-02-15";"삼성힐스테이트2단지";"삼성동";926;273;1291;84.236;11
"240";22;"2020-02-15";"한보미도맨션1,2차";"대치동";2436;179;2906;84.48;10
"241";22;"2020-02-15";"한보미도맨션1,2차";"대치동";2436;179;2906;84.96;4
"242";25.3;"2020-02-15";"미성2차";"압구정동";911;0;1093;118.63;6
"243";20;"2020-02-15";"영동한양1차";"압구정동";936;211;561;63.87;8
"244";13.25;"2020-02-15";"세곡푸르지오";"세곡동";912;174;1148;84.83;8
"245";13.3;"2020-02-15";"세곡푸르지오";"세곡동";912;174;1148;84.83;13
"246";10.95;"2020-02-15";"세곡푸르지오";"세곡동";912;174;1148;59.89;5
"247";7.57;"2020-02-15";"까치마을";"수서동";1404;208;1410;34.44;2
"248";16.25;"2020-02-15";"수서한아름";"수서동";498;249;996;129.45;10
"249";7.7;"2020-02-15";"까치마을";"수서동";1404;208;1410;34.44;4
"250";15.7;"2020-02-15";"도곡삼성래미안";"도곡동";732;291;1122;59.96;7
"251";3.6;"2020-02-16";"대치대우아이빌멤버스4차";"대치동";134;634;134;35.236;12
"252";16;"2020-02-16";"푸른마을";"일원동";930;249;930;84.93;10
"253";16.58;"2020-02-17";"역삼래미안";"역삼동";1050;276;1066;59.4;13
"254";19.7;"2020-02-17";"경남";"개포동";678;174;816;96.98;2
"255";9.4;"2020-02-17";"대청";"개포동";822;0;700;33.18;10
"256";9.4;"2020-02-17";"대치2단지";"개포동";1758;174;1758;33.18;10
"257";18;"2020-02-17";"삼성롯데";"삼성동";339;337;418;84.87;14
"258";16;"2020-02-17";"청암빌라트";"대치동";18;242;22;163.8;7
"259";22.3;"2020-02-17";"한보미도맨션1,2차";"대치동";2436;179;2906;84.96;9
"260";19.5;"2020-02-17";"미성2차";"압구정동";911;0;1093;74.4;13
"261";35;"2020-02-17";"현대빌라트";"압구정동";19;237;31;181.81;5
"262";10.82;"2020-02-17";"강남LH1단지(e편한세상)";"세곡동";809;173;998;59.89;9
"263";23.1;"2020-02-17";"도곡렉슬";"도곡동";3002;274;4443;84.9984;10
"264";12.3;"2020-02-18";"대청";"개포동";822;0;700;51.12;7
"265";12.3;"2020-02-18";"대치2단지";"개포동";1758;174;1758;51.12;7
"266";19.8;"2020-02-18";"개포주공5단지";"개포동";940;151;912;83.17;12
"267";18;"2020-02-18";"목화";"청담동";19;336;12;133.97;4
"268";10.4;"2020-02-18";"강남LH1단지(e편한세상)";"세곡동";809;173;998;59.99;10
"269";16.8;"2020-02-18";"도곡지웰카운티";"도곡동";37;0;63;107.11;5
"270";9.9;"2020-02-19";"세방하이빌";"역삼동";67;299;67;59.77;6
"271";7.2;"2020-02-19";"역삼우정에쉐르1";"역삼동";69;548;69;59.81;4
"272";16.77;"2020-02-19";"개포주공6단지";"개포동";1060;0;300;60.13;2
"273";16.77;"2020-02-19";"개포주공7단지";"개포동";900;0;400;60.13;2
"274";14.7;"2020-02-19";"현대2차";"청담동";214;200;214;84.92;4
"275";14.4;"2020-02-19";"삼성풍림2차";"삼성동";112;275;134;59.94;3
"276";3.7;"2020-02-19";"선릉LG에클라트(B동)";"삼성동";293;700;161;36.47;15
"277";57;"2020-02-19";"아이파크삼성";"삼성동";449;296;1253;195.388;23
"278";21.75;"2020-02-19";"은마";"대치동";4424;204;3021;84.43;9
"279";23;"2020-02-19";"래미안대치하이스턴";"대치동";354;347;461;110.39;6
"280";9.68;"2020-02-19";"논현아트빌";"논현동";11;242;14;90.38;2
"281";22.8;"2020-02-19";"아크로힐스논현";"논현동";368;299;645;113.231;14
"282";2.1;"2020-02-19";"한양수자인어반게이트(도시형)";"논현동";108;249;37;16.2;3
"283";14.45;"2020-02-19";"래미안강남힐즈";"자곡동";1020;159;1554;91.96;7
"284";20;"2020-02-19";"목련타운";"일원동";650;249;975;134.71;11
"285";8.98;"2020-02-19";"까치마을";"수서동";1404;208;1410;39.6;12
"286";18.15;"2020-02-19";"수서한아름";"수서동";498;249;996;163.68;10
"287";23;"2020-02-19";"도곡렉슬";"도곡동";3002;274;4443;84.9984;7
"288";16.2;"2020-02-19";"도곡렉슬";"도곡동";3002;274;4443;59.9937;22
"289";16;"2020-02-20";"역삼래미안";"역삼동";1050;276;1066;59.4;9
"290";9.65;"2020-02-20";"대청";"개포동";822;0;700;33.18;9
"291";9.65;"2020-02-20";"대치2단지";"개포동";1758;174;1758;33.18;9
"292";18.7;"2020-02-20";"삼성롯데";"삼성동";339;337;418;91.77;9
"293";23.5;"2020-02-20";"홍실";"삼성동";384;172;420;96.32;5
"294";24.75;"2020-02-20";"개포우성2차";"대치동";450;0;540;84.69;8
"295";2.6;"2020-02-20";"선릉역대우아이빌5차";"대치동";150;694;154;28.34;11
"296";19.3;"2020-02-20";"은마";"대치동";4424;204;3021;76.79;5
"297";21.8;"2020-02-20";"은마";"대치동";4424;204;3021;84.43;8
"298";17.2;"2020-02-20";"논현신동아파밀리에";"논현동";644;245;684;114.34;12
"299";7.9;"2020-02-20";"까치마을";"수서동";1404;208;1410;34.44;8
"300";16;"2020-02-20";"도곡렉슬";"도곡동";3002;274;4443;59.9772;10
"301";22;"2020-02-20";"래미안도곡카운티";"도곡동";397;261;510;71.85;20
"302";3.19;"2020-02-21";"대우디오빌플러스";"역삼동";168;861;289;34.41;4
"303";24.3;"2020-02-21";"래미안블레스티지";"개포동";1957;249;3153;84.943;9
"304";13;"2020-02-21";"한솔";"삼성동";263;0;263;58.57;1
"305";23;"2020-02-21";"대치우성1차";"대치동";476;179;498;115.59;14
"306";2.2;"2020-02-21";"한양수자인어반게이트(도시형)";"논현동";108;249;37;16.2;6
"307";8.7;"2020-02-21";"까치마을";"수서동";1404;208;1410;39.6;6
"308";8.49;"2020-02-21";"신동아";"수서동";1162;203;325;33.18;8
"309";16.3;"2020-02-22";"역삼e-편한세상";"역삼동";840;282;852;59.606;18
"310";8.685;"2020-02-22";"더블루";"역삼동";68;370;50;70.57;5
"311";6;"2020-02-22";"신사씨티빌";"신사동";17;298;16;55.273;4
"312";18.5;"2020-02-22";"목련타운";"일원동";650;249;975;99.79;7
"313";8.6;"2020-02-22";"수서1-2단지";"일원동";720;177;529;39.98;10
"314";8.55;"2020-02-22";"신동아";"수서동";1162;203;325;33.18;9
"315";2.15;"2020-02-24";"강남역우정에쉐르";"역삼동";52;536;39;16.78;8
"316";19;"2020-02-24";"역삼2차아이파크";"역삼동";150;273;200;84.587;8
"317";14.4;"2020-02-24";"우성6차";"개포동";270;106;270;54.98;4
"318";15;"2020-02-24";"삼성한일";"삼성동";127;285;137;70.05;7
"319";22.7;"2020-02-24";"대치우성1차";"대치동";476;179;498;115.59;5
"320";30.5;"2020-02-24";"대치아이파크";"대치동";768;274;1171;119.58;13
"321";19.45;"2020-02-24";"은마";"대치동";4424;204;3021;76.79;12
"322";12;"2020-02-24";"로데오현대";"신사동";138;308;124;90.94;16
"323";11.975;"2020-02-24";"힐스빌7차";"논현동";9;268;19;139.46;2
"324";10.5;"2020-02-24";"강남LH1단지(e편한세상)";"세곡동";809;173;998;59.86;8
"325";18.2;"2020-02-24";"목련타운";"일원동";650;249;975;99.79;14
"326";21.45;"2020-02-24";"우성캐릭터199";"도곡동";199;620;902;164.97;20
"327";3.7;"2020-02-24";"현대비젼21";"도곡동";232;990;291;33.1;20
"328";24;"2020-02-24";"포스코트";"도곡동";64;295;204;200.9;9
"329";2.7;"2020-02-25";"선릉역우정에쉐르멤버스";"역삼동";34;548;30;22.12;10
"330";24;"2020-02-25";"래미안그레이튼2차";"역삼동";464;266;626;120.37;24
"331";2;"2020-02-25";"강남역우정에쉐르";"역삼동";52;536;39;17.23;11
"332";22;"2020-02-25";"목련타운";"일원동";650;249;975;134.71;8
"333";16.4;"2020-02-25";"도곡렉슬";"도곡동";3002;274;4443;59.9937;10
"334";12.675;"2020-02-26";"대청";"개포동";822;0;700;51.12;8
"335";12.675;"2020-02-26";"대치2단지";"개포동";1758;174;1758;51.12;8
