ymonth,nation,itemNm,imXprt,weight,dollar
202001,베트남,삼치,수출,283176.0,1041902.0
202001,일본,삼치,수출,184764.24,847466.0
202001,미국,삼치,수출,4350.0,17319.0
202001,중국,삼치,수출,514972.02,1831134.0
202001,말레이시아,삼치,수출,24110.0,82843.0
202001,대만,꽁치,수입,4641889.47,7516153.0
202001,인디아,꽁치,수출,315.0,2485.0
202001,필리핀,꽁치,수출,518.0,2275.0
202001,미국,꽁치,수출,3640.0,8266.0
202001,중국,꽁치,수입,164255.0,325447.0
202001,바누아트,꽁치,수입,299236.05,281011.0
202001,페루,,수입,9000.0,6300.0
202001,대만,,수출,77656.0,21719.0
202001,대만,,수입,12856.0,46159.0
202001,카나다,,수입,47001.9,155225.0
202001,베트남,,수출,10369.0,29718.0
202001,일본,,수출,61204.0,113041.0
202001,미국,,수출,134.4,3864.0
202001,중국,,수출,229920.0,212061.0
202001,중국,,수입,2660330.0,1247638.0
202001,아이슬란드,,수입,5750.4,15460.0
202001,바누아트,,수입,3152.0,10346.0
202001,도미니카공화국,명란,수출,20.4,224.0
202001,러시아,명란,수입,424352.6,2214384.0
202001,베트남,명란,수출,150605.5,1182876.0
202001,일본,명란,수출,5750.0,26131.0
202001,일본,명란,수입,1.08,34.0
202001,뉴질랜드,명란,수출,136.0,1511.0
202001,미국,명란,수출,2750.0,20644.0
202001,미국,명란,수입,649735.59,2947355.0
202001,호주,명란,수출,136.0,1576.0
202001,방글라데시,,수입,240.0,769.0
202001,러시아,,수입,891076.5,1271528.0
202001,베트남,,수출,450.0,1293.0
202001,일본,,수입,6.0,1130.0
202001,필리핀,,수출,100.0,490.0
202001,뉴질랜드,,수출,150.0,1546.0
202001,뉴질랜드,,수입,12200.0,46970.0
202001,미국,,수출,8440.0,31577.0
202001,미국,,수입,24124.99,158439.0
202001,호주,,수출,382.5,1708.0
202001,북마나리아나군도,,수출,100.0,1041.0
202001,아이슬란드,,수입,36750.0,40733.0
202001,이탈리아,,수입,2526.0,29629.0
