선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
이정후,Hero,142,627,553,193,23,85,113,66,32,5,0.339,0.349,0.421,0.575,0.996,0.431,8.84
피렐라,삼성,141,630,561,192,28,102,109,55,81,15,0.361,0.342,0.411,0.565,0.976,0.423,7.32
나성범,KIA,144,649,563,180,21,92,97,64,137,6,0.388,0.32,0.402,0.508,0.91,0.403,6.41
최정,SSG,121,505,414,110,26,80,87,66,96,12,0.282,0.266,0.386,0.505,0.891,0.396,5.38
오지환,LG,142,569,494,133,25,75,87,62,107,20,0.296,0.269,0.357,0.47,0.827,0.368,5.07
양의지,NC,130,510,427,121,20,61,94,60,48,3,0.274,0.283,0.38,0.48,0.86,0.38,4.87
박건우,NC,111,463,408,137,10,52,61,44,62,3,0.375,0.336,0.408,0.458,0.866,0.392,4.39
소크라테스*,KIA,127,554,514,160,17,83,77,34,81,13,0.34,0.311,0.354,0.494,0.848,0.37,4.37
최지훈,SSG,144,640,569,173,10,93,61,47,77,31,0.335,0.304,0.362,0.427,0.789,0.356,4.36
터크먼,한화,144,648,575,166,12,88,43,64,104,19,0.334,0.289,0.366,0.43,0.796,0.358,4.21
김현수,LG,141,604,524,150,23,78,106,71,62,2,0.287,0.286,0.375,0.473,0.848,0.375,4
한유섬,SSG,135,545,458,121,21,62,100,66,137,1,0.328,0.264,0.372,0.478,0.85,0.378,3.95
문보경,LG,126,466,406,128,9,52,56,47,56,7,0.342,0.315,0.382,0.451,0.833,0.372,3.82
김혜성,Hero,129,566,516,164,4,81,48,47,83,34,0.37,0.318,0.373,0.399,0.772,0.35,3.8
이대호,롯데,142,591,540,179,23,53,101,43,56,0,0.334,0.331,0.379,0.502,0.881,0.383,3.76
박성한,SSG,140,564,494,147,2,68,56,60,81,12,0.351,0.298,0.375,0.374,0.749,0.347,3.74
한동희,롯데,129,499,456,140,14,43,65,33,64,0,0.33,0.307,0.359,0.458,0.817,0.362,3.71
푸이그,Hero,126,547,473,131,21,65,73,58,99,6,0.308,0.277,0.367,0.474,0.841,0.375,3.7
박병호,KT,124,487,429,118,35,72,98,40,131,5,0.309,0.275,0.349,0.559,0.908,0.389,3.67
안치홍,롯데,132,562,493,140,14,71,58,51,52,7,0.292,0.284,0.354,0.436,0.79,0.352,3.38
정은원,한화,140,601,508,139,8,67,49,85,109,10,0.332,0.274,0.377,0.368,0.745,0.349,3.35
장성우,KT,117,420,362,94,18,48,55,52,79,1,0.284,0.26,0.353,0.439,0.792,0.354,3.33
