선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
김태훈,KT,44,91,87,20,1,6,6,2,19,1,0.284,0.23,0.256,0.333,0.589,0.264,-0.47
이동훈,한화,33,62,53,10,0,8,2,3,12,2,0.244,0.189,0.259,0.208,0.467,0.232,-0.47
나승엽,롯데,60,128,113,23,2,16,10,14,33,1,0.266,0.204,0.289,0.274,0.563,0.271,-0.48
김지수,한화,11,25,24,2,0,0,0,1,14,0,0.2,0.083,0.12,0.125,0.245,0.118,-0.48
나주환,KIA,19,32,31,5,0,0,3,0,12,0,0.25,0.161,0.156,0.161,0.317,0.143,-0.5
김기환,NC,62,149,140,29,3,19,13,8,45,15,0.283,0.207,0.25,0.35,0.6,0.268,-0.52
박대온,NC,42,95,85,18,0,4,5,4,21,0,0.273,0.212,0.242,0.224,0.466,0.219,-0.54
이성곤,삼성,2,2,2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55
이해창,한화,20,60,54,9,0,4,4,1,13,0,0.214,0.167,0.193,0.222,0.415,0.19,-0.56
이원재,NC,31,69,65,15,0,3,7,1,11,1,0.273,0.231,0.25,0.262,0.512,0.236,-0.57
이홍구,KT,37,58,55,9,1,4,5,2,28,0,0.296,0.164,0.19,0.218,0.408,0.177,-0.58
김창평,SSG,40,28,25,2,0,6,1,1,6,2,0.105,0.08,0.115,0.08,0.195,0.1,-0.59
정진호,한화,47,167,145,33,0,9,15,15,22,4,0.264,0.228,0.301,0.29,0.591,0.278,-0.6
노태형,한화,18,49,43,5,0,6,1,6,15,0,0.179,0.116,0.224,0.14,0.364,0.196,-0.6
정의윤,SSG,62,178,165,38,7,21,24,11,37,0,0.252,0.23,0.275,0.37,0.645,0.286,-0.61
박주홍,Hero,23,56,47,5,0,4,3,9,21,1,0.192,0.106,0.25,0.149,0.399,0.219,-0.61
김동엽,삼성,69,203,185,44,4,20,24,10,42,2,0.28,0.238,0.286,0.351,0.637,0.289,-0.64
장운호,한화,102,338,285,67,0,36,28,36,77,3,0.318,0.235,0.332,0.27,0.602,0.297,-0.68
오재원,두산,45,79,72,12,0,6,5,6,18,2,0.218,0.167,0.228,0.208,0.436,0.211,-0.68
이도윤,한화,56,68,63,11,0,5,2,4,18,1,0.244,0.175,0.224,0.175,0.399,0.197,-0.72
박정현,한화,33,120,107,21,0,10,9,9,32,1,0.276,0.196,0.256,0.234,0.49,0.236,-0.74
보어,LG,32,117,100,17,3,7,17,11,30,0,0.2,0.17,0.265,0.28,0.545,0.259,-0.74
변상권,Hero,72,171,159,38,0,19,20,9,40,0,0.311,0.239,0.275,0.321,0.596,0.27,-0.76
예진원,Hero,52,132,114,18,1,16,8,12,28,0,0.198,0.158,0.248,0.254,0.502,0.241,-0.9
이원석,한화,43,130,114,20,1,12,9,8,43,4,0.264,0.175,0.238,0.228,0.466,0.224,-0.96
유장혁,한화,34,112,98,14,1,11,7,8,39,2,0.217,0.143,0.218,0.224,0.442,0.213,-0.96
임종찬,한화,42,146,131,20,1,9,8,12,49,0,0.235,0.153,0.229,0.214,0.443,0.217,-1.47
