선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
박상언,한화,1,1,1,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.03
이정용,LG,1,1,1,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.03
박시원,NC,1,1,1,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.03
서진용(타),SSG,1,1,1,0,0,0,0,0,1,0,-,0.0,0.0,0.0,0.0,0.0,-0.03
오장한,NC,1,1,1,0,0,0,0,0,1,0,-,0.0,0.0,0.0,0.0,0.0,-0.03
오태양,NC,1,1,1,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.03
최종은,롯데,1,1,1,0,0,0,0,0,1,0,-,0.0,0.0,0.0,0.0,0.0,-0.03
박성재,두산,1,1,1,0,0,0,0,0,1,0,-,0.0,0.0,0.0,0.0,0.0,-0.03
김현준,삼성,13,4,4,1,0,2,0,0,0,0,0.250,0.25,0.25,0.25,0.5,0.23,-0.04
권민석,두산,33,15,14,3,0,8,1,1,7,0,0.429,0.214,0.267,0.357,0.624,0.281,-0.04
배성근,롯데,78,109,93,19,1,21,9,14,36,1,0.321,0.204,0.308,0.28,0.588,0.287,-0.04
장규현,한화,7,12,12,3,0,0,1,0,4,0,0.375,0.25,0.25,0.333,0.583,0.258,-0.05
송준석,삼성,19,55,51,12,2,5,4,3,13,0,0.278,0.235,0.291,0.392,0.683,0.307,-0.05
이재율,NC,23,17,15,3,0,5,1,0,3,1,0.250,0.2,0.294,0.333,0.627,0.295,-0.05
김응민,삼성,1,2,2,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.05
전민재,두산,9,5,4,1,0,1,1,0,2,0,0.333,0.25,0.2,0.25,0.45,0.184,-0.06
오정환,KIA,9,18,17,4,0,1,2,1,9,0,0.500,0.235,0.278,0.294,0.572,0.266,-0.06
유서준,SSG,6,2,2,0,0,1,0,0,1,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.06
최민창,LG,3,2,2,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.06
이태훈,삼성,3,2,2,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.06
최우재,NC,2,2,2,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.06
크레익,Hero,61,247,222,55,6,25,30,20,43,0,0.282,0.248,0.32,0.383,0.703,0.32,-0.07
김병휘,Hero,13,11,10,2,0,5,0,1,2,0,0.250,0.2,0.273,0.2,0.473,0.237,-0.07
최보성,NC,10,14,12,3,0,0,1,0,5,0,0.429,0.25,0.308,0.25,0.558,0.273,-0.08
이호연,롯데,7,11,9,2,0,0,1,1,1,0,0.222,0.222,0.273,0.222,0.495,0.237,-0.08
이주형,Hero,5,11,10,1,1,1,3,1,7,0,0.000,0.1,0.182,0.4,0.582,0.249,-0.08
정상호,SSG,3,3,3,0,0,0,0,0,2,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.08
이영빈,LG,71,168,148,36,2,21,16,14,51,6,0.351,0.243,0.317,0.345,0.662,0.308,-0.09
문찬종,Hero,13,17,14,2,0,0,1,3,4,0,0.200,0.143,0.294,0.143,0.437,0.245,-0.09
김민혁,두산,6,8,6,0,0,0,0,2,2,0,0.000,0.0,0.25,0.0,0.25,0.194,-0.09
백동훈,두산,5,3,3,0,0,1,0,0,2,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.09
장준원,LG,5,3,3,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.09
백승민,삼성,4,3,3,0,0,0,0,0,2,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.09
오명진,두산,2,3,3,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09
김주현,롯데,8,17,16,4,0,1,0,1,6,0,0.4,0.25,0.294,0.25,0.544,0.262,-0.1
오준혁,SSG,26,50,46,10,2,7,5,4,15,0,0.276,0.217,0.28,0.391,0.671,0.301,-0.1
박승규,삼성,59,78,66,12,3,13,5,9,9,1,0.167,0.182,0.299,0.333,0.632,0.299,-0.1
손호영,LG,8,12,10,1,0,2,0,1,2,0,0.125,0.1,0.25,0.1,0.35,0.207,-0.1
김건형,KT,11,39,33,7,0,4,0,6,6,1,0.259,0.212,0.333,0.242,0.575,0.28,-0.11
박정우,KIA,32,61,48,9,0,3,4,10,8,0,0.225,0.188,0.35,0.208,0.558,0.299,-0.11
강민국,KT,18,50,45,11,0,2,4,3,6,0,0.282,0.244,0.292,0.289,0.581,0.273,-0.12
김수환,Hero,13,44,41,9,2,5,5,2,17,0,0.304,0.22,0.25,0.415,0.665,0.286,-0.12
안익훈,LG,47,16,14,2,0,4,1,0,2,0,0.167,0.143,0.25,0.214,0.464,0.235,-0.12
권혁경,KIA,5,18,18,4,0,1,0,0,6,0,0.333,0.222,0.222,0.222,0.444,0.204,-0.13
황윤호,KIA,6,19,17,3,0,2,0,1,3,0,0.214,0.176,0.263,0.176,0.439,0.227,-0.13
안권수,두산,87,47,42,10,0,17,4,3,3,3,0.256,0.238,0.289,0.286,0.575,0.27,-0.15
지석훈,NC,28,43,34,5,0,6,2,7,12,0,0.217,0.147,0.302,0.176,0.478,0.259,-0.15
강경학,한화,12,26,22,3,0,1,0,4,10,1,0.25,0.136,0.269,0.136,0.405,0.225,-0.15
국해성,두산,4,8,8,1,0,0,0,0,2,0,0.167,0.125,0.125,0.125,0.25,0.115,-0.16
고명준,SSG,3,5,5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16
이학주,삼성,66,174,155,32,4,17,20,14,61,1,0.311,0.206,0.276,0.335,0.611,0.282,-0.17
최정용,KIA,53,65,52,10,0,7,2,9,16,2,0.27,0.192,0.306,0.212,0.518,0.266,-0.17
모창민,NC,3,6,5,0,0,0,0,1,1,0,0.0,0.0,0.167,0.0,0.167,0.129,-0.17
오선진,삼성,23,46,42,9,0,5,2,3,8,0,0.265,0.214,0.283,0.214,0.497,0.247,-0.18
민병헌,롯데,14,49,42,8,0,5,2,6,11,0,0.258,0.19,0.292,0.262,0.554,0.271,-0.18
박세혁,두산,96,270,237,52,0,25,30,22,43,4,0.264,0.219,0.296,0.27,0.566,0.273,-0.19
조한민,한화,52,145,127,25,5,15,18,13,57,3,0.299,0.197,0.278,0.394,0.672,0.3,-0.19
허관회,한화,28,79,63,12,0,4,2,13,22,0,0.279,0.19,0.329,0.19,0.519,0.277,-0.19
