"meanPrice","aptName","siggName","dongName","exclusiveArea","householdCnt","leaseCnt","dongCnt","floorAreaRate","parkingLotCnt"
13.475,"광진한화꿈에그린","광진구","자양동",138.85,116,0,2,245,194
8.975,"용두롯데캐슬리치","동대문구","용두동",59.9779,311,57,5,234,337
4.422,"면목한신","중랑구","면목동",58.46,1362,0,10,232,681
1.415,"주함해븐타워(도시형)","중랑구","상봉동",14.94,127,0,1,476,99
11.2,"묵동자이1단지","중랑구","묵동",170.02,137,0,1,592,369
4.4475,"동성3차","중랑구","신내동",59.4,800,0,6,325,782
8.475,"돈암해피트리","성북구","돈암동",132.43,192,0,6,199,319
9.17,"돈암동일하이빌","성북구","동소문동5가",125.043,236,0,2,687,284
2.04,"안암","성북구","안암동4가",61.29,71,0,1,0,0
4.99166666666667,"푸른마을동아","성북구","정릉동",59.94,529,0,7,256,554
7.89857142857143,"래미안세레니티","성북구","종암동",59.92,955,0,14,249,1152
4.00916666666667,"우성1차","도봉구","방학동",72.87,658,0,8,247,373
2.18,"원산","도봉구","창동",46.74,22,0,1,378,16
5.16792307692308,"상아1차","도봉구","창동",58.59,694,0,5,262,350
4.15,"송광","은평구","불광동",84.82,19,0,1,249,20
3.98428571428571,"라이프씨티","은평구","갈현동",79.11,123,0,1,224,0
5.5,"뉴캐슬","은평구","역촌동",142.05,19,0,1,0,35
4.1,"세민하이파크","은평구","신사동",44.94,44,0,1,351,34
4.43,"정은노블스","은평구","신사동",83.66,20,0,2,0,22
7.41666666666667,"홍제성원","서대문구","홍제동",114.48,242,0,3,286,248
3.8,"충우(105-16)","서대문구","연희동",89.05,13,0,1,295,14
5.51333333333333,"현대","서대문구","홍은동",59.96,610,0,6,231,305
9.36714285714286,"서서울삼성","마포구","아현동",84.89,208,0,2,388,173
10.3,"마포트라팰리스2차","마포구","아현동",99.56,120,0,1,499,208
7.8,"마포한화오벨리스크","마포구","도화동",59,662,0,1,852,971
14.7754545454545,"마포한강푸르지오2차","마포구","합정동",83.45,198,0,2,399,301
4.505,"성원2차","마포구","망원동",59.43,134,0,1,304,138
8.34,"신정이펜하우스3단지","양천구","신정동",114.98,1339,1137,22,189,1484
12.45,"목동아이파크1차","양천구","목동",102.21,171,0,4,299,196
14.9,"목동현대1차","양천구","목동",84.9,242,0,3,484,199
3.25,"우영","양천구","신월동",84.93,19,0,1,248,21
4.5,"서광프리메라","강서구","화곡동",84.37,75,0,1,647,145
7.96,"그랜드아이파크","강서구","화곡동",123.48,159,0,3,0,311
11.7166666666667,"강서한강자이","강서구","가양동",84.9903,790,81,10,297,1213
7.357,"마곡나루경남","강서구","방화동",84.29,140,0,1,226,140
9.74909090909091,"우성2차","구로구","신도림동",84.82,239,0,3,271,190
6.44625,"신성미소지움","구로구","구로동",84.23,240,0,4,298,255
8.88666666666667,"구로주공1차","구로구","구로동",83.805,1400,0,13,153,1400
4.80666666666667,"미래타워","구로구","구로동",84.97,65,0,1,399,90
5.57,"진도3차","금천구","독산동",79.71,245,0,1,316,244
13.245,"상도두산위브트레지움2차","동작구","상도동",84.864,582,0,6,359,745
13.8,"힐스테이트상도프레스티지","동작구","상도동",120.49,882,0,16,202,1185
9.85,"상도브라운스톤","동작구","상도동",59.94,415,0,8,225,474
10.1125,"롯데캐슬","동작구","사당동",84.96,444,0,7,294,744
12.2841176470588,"대방대림","동작구","대방동",84.92,1628,0,14,272,2199
7.1125,"서희스타힐스","관악구","봉천동",84.93,142,0,1,372,189
4.835,"현대","관악구","신림동",84.44,336,0,5,269,165
8.48,"새티스(359)","서초구","양재동",116.79,19,0,1,292,29
6.35,"광정","서초구","양재동",75.8,11,0,1,258,11
