"선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
"한준수","KIA",7,20,20,6,0,2,2,0,2,0,0.333,0.3,0.3,0.4,0.7,0.306,0.07
"김도환","삼성",61,106,93,19,2,7,7,8,36,0,0.304,0.204,0.265,0.333,0.598,0.269,0.07
"박지규","LG",10,18,11,1,0,2,1,4,7,0,0.25,0.091,0.412,0.091,0.503,0.325,0.07
"이원재","NC",94,285,256,66,8,31,35,20,47,1,0.284,0.258,0.311,0.395,0.706,0.315,0.06
"고승민","롯데",30,89,83,21,0,7,6,4,16,0,0.309,0.253,0.284,0.373,0.657,0.294,0.06
"김재성","LG",3,7,5,1,0,0,1,2,2,0,0.333,0.2,0.429,0.2,0.629,0.348,0.06
"김민하","한화",72,140,125,32,2,14,14,9,41,5,0.361,0.256,0.319,0.352,0.671,0.308,0.05
"홍창기","LG",23,26,24,6,0,3,0,1,12,3,0.5,0.25,0.308,0.333,0.641,0.295,0.05
"김지수","Hero",69,32,30,8,0,3,3,2,7,0,0.348,0.267,0.313,0.333,0.646,0.296,0.04
"장영석","Hero",119,413,372,92,7,41,62,27,77,0,0.29,0.247,0.31,0.344,0.654,0.3,0.04
"예진원","Hero",2,8,6,1,0,1,1,2,3,0,0.333,0.167,0.375,0.333,0.708,0.345,0.03
"최영진","삼성",96,275,251,63,5,29,20,14,47,4,0.291,0.251,0.296,0.378,0.674,0.299,0.02
"신성현","두산",35,54,41,8,1,9,6,10,14,0,0.25,0.195,0.352,0.268,0.62,0.31,0.02
"최선호","삼성",17,8,6,1,0,1,0,2,0,1,0.167,0.167,0.375,0.167,0.542,0.305,0.02
"이원석","한화",13,9,6,0,0,3,0,2,5,2,0,0,0.333,0,0.333,0.256,0.01
"이정훈","KIA",7,15,14,4,0,0,3,0,1,0,0.286,0.286,0.267,0.357,0.624,0.265,0
"김민수","롯데",11,37,34,8,0,0,1,1,14,0,0.4,0.235,0.297,0.324,0.621,0.286,0
"최항","SK",52,147,127,29,0,12,14,16,24,2,0.279,0.228,0.322,0.268,0.59,0.287,0
"이동훈","한화",14,31,31,9,0,3,4,0,8,3,0.391,0.29,0.29,0.323,0.613,0.275,-0.01
"김웅빈","Hero",4,11,11,3,0,1,3,0,2,0,0.333,0.273,0.273,0.364,0.637,0.278,-0.01
"하주석","한화",5,20,19,5,0,3,2,0,4,0,0.333,0.263,0.263,0.368,0.631,0.274,-0.01
"이유찬","두산",25,13,13,3,0,6,1,0,3,5,0.3,0.231,0.231,0.231,0.462,0.211,-0.01
"지석훈","NC",76,169,149,34,2,15,15,10,37,0,0.286,0.228,0.299,0.329,0.628,0.287,-0.01
"윤수강","NC",2,4,4,1,0,0,0,0,1,0,0.333,0.25,0.25,0.25,0.5,0.228,-0.02
"김사훈","롯데",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02
"김진곤","KT",19,34,30,8,0,4,6,2,8,1,0.364,0.267,0.313,0.333,0.646,0.296,-0.03
"채태인","롯데",59,182,167,42,5,11,29,11,45,0,0.311,0.251,0.302,0.407,0.709,0.311,-0.03
"서상우","LG",13,24,21,5,0,2,1,3,8,0,0.385,0.238,0.333,0.286,0.619,0.299,-0.03
"이범호","KIA",19,31,26,6,1,1,5,3,3,0,0.208,0.231,0.29,0.385,0.675,0.295,-0.03
"주효상","Hero",18,30,29,6,0,3,5,1,7,0,0.273,0.207,0.233,0.345,0.578,0.258,-0.03
"안치영","KT",5,7,6,1,0,1,0,0,2,0,0.25,0.167,0.286,0.167,0.453,0.242,-0.03
"채현우","SK",9,1,1,0,0,2,0,0,1,3,NA,0,0,0,0,0,-0.03
"김주형","Hero",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
"박민석","KT",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
"오준혁","SK",2,1,1,0,0,1,0,0,1,0,NA,0,0,0,0,0,-0.03
"박유연","두산",2,1,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,-0.03
"박상언","한화",1,1,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,-0.03
"문경찬(타)","KIA",1,1,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,-0.03
"추재현","Hero",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
"김재윤(타)","KT",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
"정성종(타)","롯데",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
"양우현","삼성",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
"김성민","SK",2,4,4,1,0,0,0,0,3,0,1,0.25,0.25,0.25,0.5,0.228,-0.04
"김응민","삼성",8,13,13,3,0,0,0,0,6,0,0.429,0.231,0.231,0.308,0.539,0.235,-0.04
"이인행","KIA",9,20,16,3,0,1,2,2,6,0,0.3,0.188,0.316,0.25,0.566,0.282,-0.04
"김은성","Hero",5,10,8,1,0,1,0,2,2,0,0.167,0.125,0.3,0.125,0.425,0.244,-0.04
"황진수","롯데",6,4,3,0,0,1,0,1,2,0,0,0,0.25,0,0.25,0.19,-0.04
"김준완","NC",8,19,16,4,0,0,1,2,2,0,0.267,0.25,0.316,0.25,0.566,0.272,-0.05
"이대형","KT",18,19,14,2,0,2,4,4,5,0,0.2,0.143,0.316,0.214,0.53,0.273,-0.05
"김재현","삼성",6,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.05
"김창혁","한화",3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.05
"이찬건","롯데",2,2,2,0,0,0,0,0,2,0,NA,0,0,0,0,0,-0.05
"최정용","KIA",8,21,21,6,0,4,1,0,10,0,0.545,0.286,0.286,0.286,0.572,0.261,-0.06
"정준혁","롯데",6,11,11,3,0,1,1,0,6,0,0.6,0.273,0.273,0.273,0.546,0.249,-0.06
"유재신","KIA",71,59,51,13,0,17,6,6,12,4,0.325,0.255,0.328,0.333,0.661,0.31,-0.06
"강진성","NC",41,104,97,24,2,11,14,3,20,2,0.293,0.247,0.298,0.371,0.669,0.304,-0.06
"김종민","한화",10,21,20,4,1,2,1,0,7,0,0.25,0.2,0.2,0.35,0.55,0.236,-0.06
"박준혁","한화",4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.06
"김철호","NC",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06
"송승환","두산",2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.06
"이현동","삼성",1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.06
"최민재","SK",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06
"김회성","한화",58,117,104,24,3,7,18,11,24,2,0.269,0.231,0.302,0.356,0.658,0.3,-0.07
"변우혁","한화",29,61,53,12,1,7,2,7,17,0,0.314,0.226,0.328,0.302,0.63,0.302,-0.07
"박정권","SK",18,37,32,6,1,5,5,5,11,0,0.25,0.188,0.297,0.313,0.61,0.288,-0.07
"정병곤","두산",20,31,27,5,0,6,4,2,4,0,0.217,0.185,0.29,0.222,0.512,0.257,-0.08
"문선재","KIA",29,61,49,8,3,7,6,9,18,2,0.167,0.163,0.295,0.347,0.642,0.297,-0.08
"서예일","두산",7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08
"윤해진","KIA",2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.08
"이현석","SK",2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08
"최준우","SK",15,36,33,7,0,3,0,3,3,0,0.233,0.212,0.278,0.273,0.551,0.259,-0.1
"류형우","LG",10,12,11,2,0,2,1,1,3,0,0.25,0.182,0.25,0.182,0.432,0.216,-0.1
"나경민","롯데",45,49,45,9,0,10,7,3,12,2,0.273,0.2,0.265,0.289,0.554,0.266,-0.11
"황대인","KIA",12,28,25,5,0,0,0,1,8,0,0.294,0.2,0.286,0.28,0.566,0.269,-0.11
"김병희","KT",4,7,7,1,0,0,0,0,2,0,0.2,0.143,0.143,0.143,0.286,0.13,-0.11
"정현","KT",4,11,10,1,0,0,1,1,3,0,0.143,0.1,0.182,0.1,0.282,0.152,-0.11
"김규민","Hero",94,250,222,55,3,33,24,22,68,2,0.34,0.248,0.324,0.333,0.657,0.307,-0.12
"전준호","LG",8,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.12
"유영준","NC",3,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.12
"박용택","LG",64,215,195,55,1,19,22,18,30,3,0.325,0.282,0.34,0.344,0.684,0.314,-0.13
"박찬도","삼성",30,34,32,9,0,10,2,2,10,0,0.409,0.281,0.324,0.313,0.637,0.282,-0.13
