"선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
"김성훈","삼성",65,88,77,14,1,14,5,7,11,4,0.2,0.182,0.25,0.26,0.51,0.242,-0.45
"안상현","SK",65,108,102,24,0,14,5,4,28,7,0.32,0.235,0.262,0.265,0.527,0.242,-0.46
"오선우","KIA",27,57,53,8,1,5,4,3,23,0,0.241,0.151,0.211,0.264,0.475,0.221,-0.46
"이상호","NC",102,256,234,65,0,30,12,9,22,9,0.302,0.278,0.306,0.308,0.614,0.282,-0.48
"안승한","KT",36,47,44,6,0,4,5,1,13,0,0.194,0.136,0.174,0.159,0.333,0.16,-0.48
"구본혁","LG",57,95,85,15,1,10,6,6,17,2,0.206,0.176,0.245,0.224,0.469,0.226,-0.52
"김용의","LG",114,210,179,39,0,35,17,24,38,8,0.275,0.218,0.316,0.279,0.595,0.287,-0.53
"오재원","두산",98,204,177,29,3,30,18,25,50,6,0.21,0.164,0.267,0.271,0.538,0.258,-0.55
"오정환","KIA",30,29,28,4,0,8,1,0,12,0,0.25,0.143,0.143,0.143,0.286,0.13,-0.55
"송성문","Hero",103,335,308,70,3,33,34,19,53,2,0.262,0.227,0.269,0.328,0.597,0.271,-0.56
"이우성","KIA",32,87,80,14,3,7,10,5,22,0,0.2,0.175,0.241,0.3,0.541,0.249,-0.6
"양종민","LG",18,49,44,6,0,1,5,2,15,0,0.2,0.136,0.17,0.182,0.352,0.163,-0.61
"한동희","롯데",59,207,187,38,2,12,9,18,57,1,0.277,0.203,0.271,0.283,0.554,0.258,-0.68
"허도환","SK",56,93,79,10,1,3,6,5,18,0,0.145,0.127,0.202,0.203,0.405,0.194,-0.68
"나주환","SK",94,245,225,50,3,14,20,12,54,1,0.278,0.222,0.27,0.302,0.572,0.262,-0.76
"조홍석","롯데",42,65,60,7,0,8,5,4,14,1,0.149,0.117,0.169,0.183,0.352,0.168,-0.8
"전병우","롯데",29,55,51,5,0,2,0,3,22,0,0.172,0.098,0.148,0.118,0.266,0.133,-0.9
"윤석민","KT",63,178,169,39,2,4,17,7,24,0,0.255,0.231,0.258,0.29,0.548,0.249,-0.92
"윤진호","LG",106,62,59,6,1,6,5,1,13,1,0.111,0.102,0.117,0.186,0.303,0.132,-0.92
"김동엽","삼성",60,211,195,42,6,15,25,12,47,2,0.25,0.215,0.265,0.338,0.603,0.273,-0.93
"오윤석","롯데",76,228,198,44,1,21,21,20,43,0,0.272,0.222,0.295,0.247,0.542,0.26,-0.94
"최원준","KIA",90,255,232,46,1,33,18,16,51,8,0.249,0.198,0.261,0.284,0.545,0.255,-0.95
"양성우","한화",56,129,119,20,1,11,6,9,28,1,0.211,0.168,0.227,0.218,0.445,0.212,-1.14
"노시환","한화",91,192,177,33,1,19,13,11,72,2,0.305,0.186,0.241,0.26,0.501,0.233,-1.29
"나종덕","롯데",104,209,185,23,3,12,13,9,88,0,0.208,0.124,0.188,0.195,0.383,0.183,-1.61
"김태근","두산",9,0,0,0,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
"전민재","두산",2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"김승회","두산",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"양원혁","LG",1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"이승진","SK",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
