"date","aptName","dong","household","floorAreaRate","numParkinglot","exclusiveArea","floor","price"
2020-01-13,"풍림지오빌","역삼동",17,299,18,42.69,3,4.5
2020-01-13,"역삼IPARK","역삼동",541,273,914,130.156,16,27
2020-01-13,"대청","개포동",822,0,700,39.53,14,11.1
2020-01-13,"대치2단지","개포동",1758,174,1758,39.53,14,11.1
2020-01-13,"현대","대치동",120,243,55,84.27,4,16.5
2020-01-13,"푸른마을","일원동",930,249,930,84.93,8,15.95
2020-01-13,"푸른마을","일원동",930,249,930,59.76,9,12.95
2020-01-13,"개포우성5차","도곡동",180,179,144,70.89,2,14.6
2020-01-13,"도곡아이파크1차","도곡동",321,295,548,130.259,10,22.5
2020-01-13,"우성캐릭터199","도곡동",199,620,902,132.94,25,17.4
2020-01-14,"성영포유","역삼동",19,226,32,115.4,3,12.5
2020-01-14,"개포주공6단지","개포동",1060,0,300,60.13,14,18
2020-01-14,"개포주공7단지","개포동",900,0,400,60.13,14,18
2020-01-14,"청담스위트(도시형)","청담동",124,199,57,14.224,3,2.2
2020-01-14,"은마","대치동",4424,204,3021,84.43,13,22
2020-01-14,"대치아이파크","대치동",768,274,1171,84.93,9,25.25
2020-01-14,"선경1,2차","대치동",1034,179,1661,127.75,12,30
2020-01-14,"제이빌","논현동",32,242,32,75.12,2,8
2020-01-14,"현대아이리스","도곡동",17,232,29,113.18,4,9.5
2020-01-15,"세종빌라트","역삼동",19,254,20,122.45,1,5.5
