"팀명","야구단명","연고지역","창단년도"
"키움","히어로즈","서울특별시","2008"
"두산","베어스","서울특별시","1982"
"롯데","자이언츠","부산광역시","1982"
"삼성","라이온즈","대구광역시","1982"
"한화","이글스","대전광역시","1986"
"KIA","타이거즈","광주광역시","1982"
"kt","wiz","수원시","2013"
"LG","트윈스","서울특별시","1982"
"NC","다이노스","창원시","2011"
"SK","와이번스","인천광역시","2000"
