"","선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
"135","박용택","LG",97,236,217,65,2,22,35,15,34,2,0.341,0.3,0.339,0.396,0.735,0.328,0.04
"136","김민수","롯데",3,10,8,2,0,1,0,2,4,1,0.5,0.25,0.4,0.25,0.65,0.331,0.04
"137","이진영","KIA",32,27,22,5,0,4,5,5,9,1,0.385,0.227,0.37,0.273,0.643,0.32,0.04
"138","김현민","한화",4,5,5,2,0,2,0,0,1,0,0.5,0.4,0.4,0.4,0.8,0.363,0.03
"139","정진호","한화",113,326,282,78,2,30,19,29,50,9,0.328,0.277,0.348,0.355,0.703,0.324,0.02
"140","러셀","키움",65,271,244,62,2,22,31,22,37,2,0.288,0.254,0.317,0.336,0.653,0.299,0.02
"141","권정웅","삼성",3,2,1,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0.373,0.02
"142","오선우","KIA",59,73,67,16,4,11,14,3,26,0,0.324,0.239,0.301,0.418,0.719,0.315,0.01
"143","화이트","SK",9,30,22,3,1,3,4,6,1,0,0.1,0.136,0.367,0.318,0.685,0.337,0.01
"144","박민","KIA",6,2,1,0,0,1,0,1,1,0,NA,0,0.5,0,0.5,0.373,0.01
"145","김주찬","KIA",7,18,18,6,1,3,2,0,2,0,0.333,0.333,0.333,0.5,0.833,0.357,0
"146","박재욱","LG",15,17,15,4,0,0,1,0,4,0,0.364,0.267,0.313,0.267,0.58,0.276,-0.01
"147","김재유","롯데",68,133,116,30,1,20,9,12,35,10,0.363,0.259,0.344,0.293,0.637,0.304,-0.01
"148","유민상","KIA",126,456,391,96,8,38,65,53,80,0,0.287,0.246,0.341,0.366,0.707,0.325,-0.01
"149","서예일","두산",40,29,25,6,0,4,1,3,7,0,0.316,0.24,0.31,0.32,0.63,0.291,-0.01
"150","한석현","LG",9,3,2,0,0,3,0,1,1,1,0,0,0.333,0,0.333,0.249,-0.01
"151","전민수","LG",4,6,5,1,0,0,0,1,2,0,0.333,0.2,0.333,0.2,0.533,0.275,-0.02
"152","변상권","키움",35,64,62,17,1,7,16,1,20,0,0.381,0.274,0.281,0.403,0.684,0.298,-0.03
"153","윤수강","NC",4,4,4,1,0,0,0,0,2,0,0.5,0.25,0.25,0.25,0.5,0.227,-0.03
"154","류효승","SK",8,9,8,1,1,2,2,1,4,0,0,0.125,0.222,0.5,0.722,0.292,-0.03
"155","문찬종","키움",5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
"156","이승민","두산",3,1,1,0,0,1,0,0,1,0,NA,0,0,0,0,0,-0.03
"157","라이블리(타)","삼성",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03
"158","김병휘","키움",1,1,1,0,0,1,0,0,1,0,NA,0,0,0,0,0,-0.03
