"","선수명","팀명","경기","타석","타수","안타","홈런","득점","타점","볼넷","삼진","도루","BABIP","타율","출루율","장타율","OPS","wOBA","WAR"
"267","강민국","KT",81,120,107,24,0,16,9,7,20,0,0.276,0.224,0.272,0.252,0.524,0.247,-0.67
"268","박승규","삼성",91,196,182,47,1,24,14,7,32,4,0.309,0.258,0.297,0.335,0.632,0.289,-0.69
"269","김지찬","삼성",135,287,254,59,1,47,13,24,44,21,0.275,0.232,0.301,0.272,0.573,0.272,-0.69
"270","허일","롯데",60,95,84,15,1,5,6,8,29,0,0.259,0.179,0.258,0.262,0.52,0.246,-0.71
"271","구본혁","LG",125,98,86,14,1,20,7,7,18,0,0.194,0.163,0.242,0.221,0.463,0.223,-0.72
"272","이동훈","한화",37,38,37,4,0,5,1,0,14,0,0.174,0.108,0.132,0.108,0.24,0.116,-0.76
"273","김규민","키움",54,111,101,21,1,13,6,5,24,1,0.26,0.208,0.25,0.277,0.527,0.241,-0.86
"274","송광민","한화",94,298,277,65,9,31,43,14,69,0,0.277,0.235,0.276,0.375,0.651,0.285,-0.87
"275","김태진","KIA",45,192,180,44,0,18,17,9,23,5,0.278,0.244,0.283,0.267,0.55,0.256,-0.89
"276","호잉","한화",34,134,124,24,4,12,14,9,34,5,0.233,0.194,0.254,0.323,0.577,0.259,-0.9
"277","정상호","두산",42,92,86,14,0,3,8,2,29,0,0.241,0.163,0.18,0.233,0.413,0.185,-0.91
"278","정현","SK",89,128,112,17,2,14,4,11,34,0,0.197,0.152,0.24,0.241,0.481,0.229,-0.92
"279","팔카","삼성",51,217,196,41,8,17,23,18,58,2,0.248,0.209,0.272,0.367,0.639,0.282,-0.97
"280","김헌곤","삼성",97,283,254,63,3,26,34,22,31,7,0.269,0.248,0.312,0.311,0.623,0.289,-0.99
"281","김태균","한화",67,254,219,48,2,14,29,30,42,0,0.26,0.219,0.316,0.297,0.613,0.286,-1.07
"282","이재원","SK",80,251,222,41,2,18,21,19,24,0,0.198,0.185,0.266,0.248,0.514,0.24,-1.12
"283","심우준","KT",144,535,476,112,3,58,51,37,98,35,0.288,0.235,0.291,0.3,0.591,0.273,-1.14
"284","이상호","NC",82,65,61,8,0,18,4,3,5,6,0.143,0.131,0.172,0.148,0.32,0.154,-1.19
"285","최인호","한화",47,135,127,30,0,8,8,4,34,0,0.316,0.236,0.261,0.236,0.497,0.231,-1.22
"286","박계범","삼성",80,175,164,32,3,21,16,7,42,3,0.242,0.195,0.227,0.293,0.52,0.232,-1.22
"287","이성규","삼성",98,245,216,39,10,25,30,18,64,3,0.201,0.181,0.257,0.361,0.618,0.273,-1.22
"288","김규성","KIA",102,182,157,28,3,21,11,13,40,2,0.217,0.178,0.244,0.261,0.505,0.234,-1.22
"289","정의윤","SK",76,203,187,45,1,13,20,12,38,0,0.291,0.241,0.286,0.294,0.58,0.264,-1.27
"290","정보근","롯데",85,152,133,20,0,9,5,11,32,0,0.196,0.15,0.219,0.165,0.384,0.191,-1.36
"291","민병헌","롯데",109,342,309,72,2,42,23,21,62,10,0.283,0.233,0.291,0.291,0.582,0.27,-1.37
"292","이성열","한화",79,248,227,46,8,23,34,16,69,1,0.253,0.203,0.27,0.33,0.6,0.271,-1.58
"293","박찬호","KIA",141,531,480,107,3,63,36,36,87,15,0.265,0.223,0.276,0.275,0.551,0.256,-2.18
"294","박지규","LG",4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"295","김현준(타)","KIA",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"296","현원회","SK",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
